Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
3528.  -9. -9. 1.d-3 -9. RC 17.55 0.05 -9. -9. -9. FTN GCN10066 0 USNO 3. 0. 0 E(B-V)=0.98
6624.  -9. -9. 1.d-3 -9. RC 17.98 0.05 -9. -9. -9. FTN GCN10066 0 USNO 3. 0. 0 E(B-V)=0.98
11880. -9. -9. 1.d-3 -9. RC 19.09 0.08 -9. -9. -9. FTN GCN10066 0 USNO 3. 0. 0 E(B-V)=0.98
 642. -9. -9. -9.   180.  RC  17.177  0.030   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
 839. -9. -9. -9.   180.  RC  17.510  0.037   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
1028. -9. -9. -9.   180.  RC  17.827  0.049   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
1218. -9. -9. -9.   180.  RC  17.993  0.044   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
1407. -9. -9. -9.   180.  RC  18.136  0.056   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
1723. -9. -9. -9.   300.  RC  18.008  0.046   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
2038. -9. -9. -9.   300.  RC  17.764  0.045   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
2348. -9. -9. -9.   300.  RC  17.737  0.033   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
2657. -9. -9. -9.   300.  RC  17.665  0.037   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
2965. -9. -9. -9.   300.  RC  17.776  0.045   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
3338. -9. -9. -9.   300.  VJ  19.029  0.111   -9. -9. -9. SRO GCN10073 0 USNOB1 0. 0. 0 nnn
