Time	Flux	Flux_err	Band
7934.112	2.0453415256603796e-12	1.875180382036751e-14	I
13653.792	1.5803956867677983e-12	2.884547212585679e-14	I
19425.312	1.2438437713228868e-12	2.270270738842291e-14	I
100014.912	1.6701898332619506e-13	4.551730977587781e-15	I
110300.832	1.6397054332578104e-13	4.468652524427102e-15	I
362727.936	2.5513253001052626e-14	1.3716649041292433e-15	I
531409.248	2.30550376473452e-14	1.0376476236855126e-15	I
792790.848	1.8313267355917504e-14	3.342547992704277e-16	I
793982.304	1.7814179978754058e-14	1.1122816461345174e-15	I
967256.64	1.8826337313830726e-14	1.1754787188119543e-15	I
1137654.72	1.9176345056469893e-14	1.1973324998228167e-15	I
1560219.84	1.9176345056469893e-14	1.758097882330786e-16	I
1742040.0	1.848271793245373e-14	1.1540238142574727e-15	I
1912394.88	1.9353781592644577e-14	1.040514236727073e-15	I
2084184.0	1.9000535268236815e-14	1.1863552894827572e-15	I
4070062.08	1.1239987693486903e-14	2.0515289583617448e-16	I
6576111.36	9.522825708525055e-15	8.73057908723573e-17	I
8815877.568	7.704879229358085e-15	3.467766891305817e-16	I
