Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            162.0000               0.0010    9.0896626291828628e-06    1.7580966709172676e-06
           1000.0000               0.0010    7.2869831094082490e-06    1.6107743197106285e-06
           1800.0000               0.0010    5.5609342617329013e-06    1.3818122683379578e-06
           6240.0000               0.0010    1.3506653756776881e-05    1.6172114655786448e-06
           8100.0000               0.0010    2.7279610893665614e-05    5.8353374742679792e-06
           9360.0000               0.0010    3.7858427720338669e-05    7.9553621999430652e-06
          10440.0000               0.0010    3.6779394346248596e-05    7.6428334543973291e-06
          51990.0000               0.0010    2.9822755774210274e-05    5.4935547883638897e-07
          87930.0000               0.0010    1.9703699219861106e-05    5.4443334487898871e-07
          99000.0000               0.0010    2.1645826342248267e-05    4.6553033002510994e-06
         152410.0000               0.0010    1.0728716398841160e-05    3.9526053052964576e-07
         185760.0000               0.0010    7.0082851292786637e-06    1.5990157872259560e-06
         241670.0000               0.0010    7.4911374037283640e-06    3.4497963623914595e-07
         306720.0000               0.0010    4.9039694984289706e-06    2.2583614777295286e-07
         382860.0000               0.0010    4.5138566191440341e-06    2.9101909934613306e-07
         443160.0000               0.0010    4.1245992568075698e-06    1.0382215990104606e-06
         475130.0000               0.0010    4.0789441521894729e-06    3.3811618573318223e-07
         628620.0000               0.0010    4.1932210693249413e-06    4.6345193298291122e-07
         792000.0000               0.0010    2.2044048361348275e-06    5.3932954060048587e-07
         805650.0000               0.0010    2.0443147147131190e-06    2.4477485359587176e-07
         931360.0000               0.0010    2.1804581473817519e-06    1.4057933597662796e-07
        2419450.0000               0.0010    1.7161203983794380e-06    2.0547869476406132e-07
        2983130.0000               0.0010    1.8644371763143052e-06    1.8889311639406937e-07
