time	flux	flux_err1	band
133.00	6.392154865842227e-13	1.0753920291569989e-13	R
216.00	4.760442110751453e-13	7.272650510934973e-14	R
441.00	3.7813535783403375e-13	4.5745863888014386e-14	R
508.00	3.4805452818306814e-13	5.587667864649488e-14	R
552.00	3.887293107512732e-13	5.938718200281574e-14	R
575.00	3.448635450883636e-13	4.4499953813221475e-14	R
642.00	2.976098413181251e-13	4.777828793717207e-14	R
776.00	3.4805452818306814e-13	5.0444686864943056e-14	R
910.00	3.293421287484561e-13	3.1732287430331e-14	R
915.00	3.5780572760891445e-13	1.0566251132616509e-13	R
1111.00	2.7902768010711437e-13	3.600473014390493e-14	R
1245.00	2.1759418661697925e-13	4.3153700485461783e-14	R
1380.00	1.9662887222146574e-13	3.003950126389159e-14	R
1495.00	2.7902768010711437e-13	4.6942564659191224e-14	R
1581.00	2.15599271123062e-13	3.954470704620798e-14	R
2715.00	2.0400804230001977e-13	9.394353640064402e-14	R
3771.00	2.1166414094167403e-13	3.560957686482002e-14	R
5659.00	2.0780083498058013e-13	2.847317218427527e-14	R
5822.00	2.3858728123302946e-13	4.1958409011563724e-14	R
5985.00	2.8421519198582633e-13	3.4383638604872304e-14	R
6149.00	3.0036359127514215e-13	4.353268261326812e-14	R
6311.00	2.4983155338095403e-13	3.22373667639739e-14	R
6475.00	2.7902768010711437e-13	2.2196771445240343e-14	R
15996.00	5.316762836685228e-13	8.944721295853886e-14	R
27640.00	1.0805560226622375e-12	1.817886703649919e-13	R
72987.00	5.567334149509168e-13	3.4761317106836913e-14	R
142799.00	2.0972359243329552e-13	1.6683601591532196e-14	R
146890.00	1.8951661392949815e-13	1.5076127797980687e-14	R
166916.00	2.2576015173192438e-13	2.913127951045783e-14	R
223766.00	1.218e-13	1.765287437064591e-14	R
253037.00	1.1108292023354958e-13	2.7590454251615332e-14	R
317981.00	6.632042311620673e-14	8.557749311508902e-15	R
323443.00	6.69340784358587e-14	8.097516347414485e-15	R
505266.00	3.003635912751421e-14	8.869945033346808e-15	R
