#time	flux	flux_err	band
163.00	6.392154865842227e-13	0.0	R
473.00	2.7902768010711437e-13	0.0	R
846.00	2.7902768010711437e-13	4.6942564659191224e-14	R
2688.00	1.7605456407685369e-13	1.5490893320683926e-14	R
440.00	4.804489939276882e-13	8.082892691591e-14	R
507.00	2.868450027785339e-13	4.825772154550442e-14	R
574.00	2.521432162827483e-13	6.087302671492212e-14	R
641.00	1.5333711515652944e-13	4.725374989987894e-14	R
708.00	1.7125658843902339e-13	7.270870791909654e-14	R
775.00	2.7902768010711437e-13	4.6942564659191224e-14	R
842.00	1.9662887222146574e-13	4.74706191509831e-14	R
909.00	2.5683090866187403e-13	4.3208263537547633e-14	R
976.00	1.5053839739354126e-13	4.6391271764186747e-14	R
1043.00	3.031428213667945e-13	5.0999605084046224e-14	R
1110.00	2.7646953895944944e-13	4.651219263952096e-14	R
1177.00	2.59207335800694e-13	4.3608064677631995e-14	R
1244.00	1.7284120614173114e-13	4.172774312161751e-14	R
1311.00	1.1957689945983385e-13	4.412897651548191e-14	R
1379.00	2.2163956457869544e-13	5.350876115006455e-14	R
1446.00	1.477907619866341e-13	4.5544535628571196e-14	R
1513.00	2.15599271123062e-13	5.2050498856470136e-14	R
1580.00	3.145192912192938e-13	5.291353947019432e-14	R
1647.00	2.0780083498058013e-13	5.0167781491972426e-14	R
1714.00	1.437630534223804e-13	4.4303320590903664e-14	R
63720.00	4.033177059657956e-13	3.548758642083041e-14	R
64800.00	3.678301195449652e-13	3.2365063478377576e-14	R
72720.00	4.422290707099822e-13	3.891136474418741e-14	R
70020.00	4.588252271624015e-13	0.0	R
27639.00	1.0805560226622375e-12	5.809375908161044e-14	R
27964.00	1.1848061185603422e-12	4.2855594124621297e-14	R
28282.00	1.1006450589937619e-12	3.981140642725476e-14	R
28601.00	8.905274036828023e-13	2.4269344053048686e-14	R
28915.00	8.426501225792643e-13	2.2964555224966448e-14	R
29239.00	7.139162843780881e-13	1.945620074013735e-14	R
157320.00	2.2784908469655415e-13	0.0	R
164070.00	1.6354877226659186e-13	1.0211657110062416e-14	R
