date	time	exp	mag	mag_err	band	source
2012-03-27	04:43:16.000	900.0	18.92	0.03	V	manual
2012-03-27	04:43:16.000	900.0	17.73	0.04	I	manual
2012-03-27	04:43:16.000	720.0	16.46	0.07	J	manual
2012-03-27	04:43:16.000	720.0	14.83	0.09	K	manual
2012-03-27	07:01:16.000	900.0	19.97	0.03	V	manual
2012-03-27	07:01:16.000	900.0	18.57	0.04	I	manual
2012-03-27	07:01:16.000	720.0	17.42	0.08	J	manual
2012-03-27	07:01:16.000	720.0	15.73	0.09	K	manual
2012-03-27	19:48:05.000	2640.0	20.3	0.1	Rc	manual
2012-03-27	19:48:05.000	2640.0	19.7	0.3	Ic	manual
2012-03-27	03:02:54.000	20.0	15.68	0.1	v	manual
2012-03-27	03:02:02.000	20.0	16.97	0.11	b	manual
2012-03-27	02:59:52.000	246.0	18.02	0.08	u	manual
2012-03-27	02:59:41.000	250.0	17.92	0.15	U	manual
2012-03-27	03:47:49.000		17.65	0.09	R	manual
2012-03-27	04:07:28.000		18.34	0.32	R	manual
2012-03-27	04:36:50.000		18.56	0.17	R	manual
2012-03-27	05:21:01.000		18.84	0.09	R	manual
2012-03-27	03:05:16.000		12.69	0.03	H	manual
2012-03-27	03:36:24.000	144.0	18.6	0.1	g'	manual
2012-03-27	03:36:24.000	144.0	17.5	0.1	r'	manual
2012-03-27	03:36:24.000	144.0	17.2	0.1	i'	manual
2012-03-27	03:36:24.000	144.0	17.0	0.1	z'	manual
2012-03-27	03:36:24.000	240.0	16.3	0.1	J	manual
2012-03-27	03:36:24.000	240.0	15.9	0.1	H	manual
2012-03-28	03:56:09.000	1800.0	21.8	0.16	R	manual
2012-03-27	03:30:10.000	10.0	16.1	0.3	R	manual
2012-03-27	03:59:46.000	60.0	17.0	0.3	R	manual
