Time     Mag    MagErr    Band      GCN
924      >15.4            ?                   B          14206
924      >14.5            ?                   V          14206
780      >13.8            ?                   R          14206
930      >13.3            ?                   I          14206
8028     17.86           0.05                r'         14212
8028     17.10           0.04                i'         14212
8028     16.86           0.04                Z          14212
8028     16.67           0.04                J          14212
719      13.8            0.3                R          14213
1192     14.4            0.3                R          14213
1795     15              0.3                R         14213
2123     15.7            0.3                R         14213
4439     16.3            0.3                R         14213
2993     15.56           0.02               unfilt    14216
3156     15.70           0.03               unfilt    14216
4595     16.44           0.04               Rc        14216
4936     16.54           0.05               Rc        14216
5910     17.34           0.06               V         14216
5586     17.27           0.05               V         14216
6500     16.62           0.03               unfilt    14216
84270    21              0.1                g'        14221
84270    20.5            0.1                r'        14221
84270    20.2            0.1                i'        14221
84270    19.9            0.1                z'        14221
84270    19.4            0.2                J         14221
84270    19.0            0.1                H         14221
62028    17.23           0.05               Ks        14222
92340    17.34           0.05               Ks        14222
175500   17.57           0.05               Ks        14227
183852   17.60           0.07               Ks        14227
267120   21.92           0.09               r'        14237
267120   20.92           0.07               i'        14237
265554   20.21           0.12               Z         14237
265554   20.38           0.15               Y         14237
265554   20.37           0.13               J         14237
265554   19.59           0.11               H         14237
