time_sec	flux	flux_err	band	source
35190.7	8.362161241092312e-14	1.3073205854525925e-14	r	nissim
35279.6	1.024826949711918e-13	1.311369129469118e-14	r	nissim
35373.6	1.3804203006481934e-13	1.4903688651806622e-14	r	nissim
35465.7	9.741085100388026e-14	1.423499636429726e-14	r	nissim
35739.0	1.1837645700994055e-13	1.2476912050434088e-14	r	nissim
35841.2	1.324568849908005e-13	1.4099554610216453e-14	r	nissim
36121.5	1.222685994324418e-13	1.223018352159471e-14	r	nissim
36215.8	1.078140442856449e-13	1.43993603877764e-14	r	nissim
36575.0	1.0389057201164569e-13	1.3672330136836398e-14	r	nissim
36674.3	1.2482470186883375e-13	1.4908358686245862e-14	r	nissim
36971.2	1.0256069081758165e-13	1.217201301695275e-14	r	nissim
37059.7	9.252701196933215e-14	1.245787147972745e-14	r	nissim
37155.0	1.2905919071172312e-13	1.3907830548464593e-14	r	nissim
37354.1	1.340600377836948e-13	1.3255587144941285e-14	r	nissim
37718.6	1.149193967208261e-13	1.4428981790443078e-14	r	nissim
37918.4	1.0833633451845227e-13	1.264896284600317e-14	r	nissim
36904.2	1.026215423180137e-13	2.553890158100532e-15	r	nissim
35092.4	1.2967209232067978e-13	1.4882103966704745e-14	i	nissim
35373.6	1.8380652245307062e-13	1.50295818892452e-14	i	nissim
35465.7	1.6960947835349387e-13	1.4278304189291695e-14	i	nissim
35841.2	1.4922724405034854e-13	1.3486792566090731e-14	i	nissim
35932.2	1.856773453987621e-13	1.3261212830771403e-14	i	nissim
36215.8	1.7295157385965712e-13	1.3433015064510084e-14	i	nissim
36381.8	1.6354531907620983e-13	1.3434313490713926e-14	i	nissim
36674.3	1.7195393490765937e-13	1.409116865137918e-14	i	nissim
36802.6	1.33804561294575e-13	1.3615270370195061e-14	i	nissim
37155.0	1.7947870134644303e-13	1.3436155989749217e-14	i	nissim
37247.2	1.7572280148533755e-13	1.321633721823194e-14	i	nissim
37627.4	1.4437969447189493e-13	1.3283423514786775e-14	i	nissim
37718.6	1.5962073948081992e-13	1.304171022626366e-14	i	nissim
38012.6	1.201243134226841e-13	1.3855029997521704e-14	i	nissim
38105.9	1.6575327514290512e-13	1.3576452832086836e-14	i	nissim
38393.3	1.5959912957204378e-13	1.4826709459180327e-14	i	nissim
38527.2	1.8503816734691447e-13	1.519431159072403e-14	i	nissim
36904.2	7.256949793184319e-14	2.5134239862860963e-15	i	nissim
37620.95	2.1977908040020253e-13	3.3915342605546015e-14	Z	nissim
37712.15	2.411643738943652e-13	3.012477754010896e-14	Z	nissim
38099.55	1.6811867242617508e-13	2.943319098856871e-14	Z	nissim
36897.75	1.6673099882371543e-13	1.0591213679648179e-14	Z	nissim
36964.75	2.286581960267322e-13	3.7202687573564404e-14	Y	nissim
37053.350000000006	2.3585591528137737e-13	3.5924069911659625e-14	Y	nissim
37347.7	1.443623598895639e-13	3.4121507919324796e-14	Y	nissim
37517.95	2.8205796800624664e-13	3.4494471569245023e-14	Y	nissim
38709.55	2.419952117360542e-13	3.412816479963151e-14	Y	nissim
36897.75	2.679506240563376e-13	1.8084212664752126e-14	Y	nissim
36897.75	7.283101373922699e-14	8.274974517539738e-15	J	nissim
36897.75	4.4351265486197904e-14	4.943480585092576e-15	H	nissim
