time_sec	flux	flux_err	band	source
8424.0	2.088552137994929e-13	1.9713263000625985e-14	i	manual
8424.0	2.085663539049851e-13	1.921806510140945e-14	r	manual
8424.0	2.1908302619622145e-13	2.1401070035786305e-14	g	manual
14434.4	2.633548503070767e-13	1.941472393237629e-14	i	nissim
14531.0	2.2517435185321933e-13	1.477795504696035e-14	i	nissim
14636.4	2.2663246440476945e-13	1.4610572143302107e-14	i	nissim
14668.0	2.3979787009239416e-13	6.6334860971872245e-15	i	manual
14668.0	1.5453394650415445e-13	1.8179578132641305e-14	z	manual
14724.3	2.504197911442312e-13	1.623997890734756e-14	r	nissim
14820.1	2.536885822175489e-13	1.894450942879193e-14	i	nissim
15011.5	2.468458606799064e-13	1.8830500080942776e-14	r	nissim
15107.4	2.5024317926661857e-13	1.6466176617787348e-14	r	nissim
15212.7	2.199387988924577e-13	1.5080352915981574e-14	r	nissim
15308.7	2.7058209125454133e-13	1.4409291021563702e-14	r	nissim
15373.0	1.4928010176971844e-13	4.1341548088291234e-14	v	manual
15399.5	2.793836899618007e-13	1.5078453985946236e-14	r	nissim
15495.8	2.902182032165138e-13	1.533617959849694e-14	r	nissim
15599.1	2.650768792494912e-13	1.451991193549167e-14	r	nissim
15696.8	2.3442020910297344e-13	1.4321227232759045e-14	r	nissim
15793.3	2.2511573338886292e-13	1.4856898603835466e-14	r	nissim
15891.1	2.691623113378154e-13	1.5821347498989355e-14	r	nissim
15998.2	2.3541614785051253e-13	1.5473432970856285e-14	r	nissim
16094.1	2.612937663820568e-13	1.5267242216195162e-14	r	nissim
16191.0	2.5133388765711163e-13	1.5074241404267153e-14	r	nissim
16277.1	2.420858742343519e-13	1.4191931869733084e-14	r	nissim
16381.2	2.4134245230804773e-13	1.3696418354061066e-14	i	nissim
16556.9	2.589220572372709e-13	1.4301151244475493e-14	r	nissim
16588.0	1.6218172765878594e-13	5.982653194311798e-14	v	manual
16741.4	2.469923197265245e-13	1.4401621274676384e-14	r	nissim
16827.6	2.387874231930019e-13	1.4565618927459912e-14	r	nissim
16915.5	2.351422388977369e-13	1.3840038356277558e-14	r	nissim
17107.0	2.7280060009945004e-13	2.0874244828274103e-14	i	manual
17109.1	2.4664950544556684e-13	1.4863410704838703e-14	r	nissim
