time_sec	flux	flux_err	band_init	band_norm	source
6480	7.90361454677261e-14	2.9117992057871204e-14	R	R	18530
7200	3.14454139753846e-14	1.4728276827477807e-14	I	R	18530
643.5	1.7844254882771468e-12	5.389801626051265e-13	v_swift	R	18531
656	6.33306536182691e-13	2.1509059938083586e-13	b_swift	R	18531
429	1.774770553795923e-12	4.2631496967714746e-13	u_swift	R	18531
2826	2.6686784191265295e-13	3.836375006316404e-14	g	R	18523
2826	2.218213595819926e-13	2.053294218000973e-14	r	R	18523
2826	1.654468066741719e-13	1.9138561734428516e-14	i	R	18523
2826	1.2911737173016613e-13	2.1278728318378705e-14	z	R	18523
2826	4.423957079858482e-14	1.3773405515370073e-14	J	R	18523
