time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
453734.0	1.9519764346551395e-14	3.5956734722500716e-15	R	-13.803748565630322	5.6568013238089625	22.4	0.2	manual
537923.0	1.9519764346551395e-14	5.393510208375106e-15	R	-13.803748565630322	5.730720113829225	22.4	0.3	manual
103285.0	3.0936741631294406e-13	2.279503363392858e-14	R	-12.603748565630324	5.014037253850235	19.4	0.08	manual
324209.0	4.825417440609635e-14	2.2231646422776694e-15	r	-13.41572738136961	5.510825066638606	21.64	0.05	manual
324209.0	4.590014930177264e-14	1.3543989287350971e-15	i	-13.411948412108162	5.510825066638606	21.41	0.03	manual
59009.0	1.0384482183171843e-12	5.073988997463499e-14	g'	-12.127100178910691	4.77091825490062	18.7	0.05	manual
59009.0	9.539703780951552e-13	4.395129002753109e-14	r'	-12.119727381369607	4.77091825490062	18.4	0.05	manual
59009.0	8.050337689200471e-13	3.7998777750162395e-14	i'	-12.167948412108162	4.77091825490062	18.3	0.05	manual
59009.0	7.123137268880341e-13	3.58256652919566e-14	z'	-12.202194440480271	4.77091825490062	18.2	0.05	manual
59009.0	3.486456973911176e-13	3.4623166277243215e-14	J	-12.488415230539442	4.77091825490062	17.7	0.1	manual
59009.0	1.7912812014990604e-13	1.9111423852936454e-14	H	-12.76634115938912	4.77091825490062	17.6	0.1	manual
59009.0	1.3051958653563556e-13	1.5169882361984413e-14	K	-12.897443437928304	4.77091825490062	17.1	0.1	manual
91141.0	1.390710500665884e-11	4.0572301469608727e-13	v	-10.986951924798785	4.959713789356144	15.72	0.03	manual
87405.0	2.923460807292313e-10	1.2793078985978682e-11	u	-9.746603046132057	4.941536277145831	13.08	0.03	manual
91756.0	2.7662872556564286e-11	1.2105286744820847e-12	u	-10.770603046132056	4.962634472724595	15.64	0.03	manual
91551.0	4.05495141879043e-18	2.5615611486109745e-19	uvw1	-17.67683972026017	4.96166309240735	16.18	0.04	manual
91346.0	8.635508006085577e-18	7.101282571541945e-19	uvm2	-17.46136458553191	4.9606895345461135	16.64	0.06	manual
90936.0	3.0124194829593687e-18	2.432870273657334e-19	uvw2	-17.873388289377324	4.958735846986599	17.43	0.05	manual
41489.0	1.0244117951387673e-12	9.435181314295185e-14	R	-12.083748565630325	4.617932967253275	18.1	0.1	manual
-11270.67	9.989296168983464e-11	3.682722600692267e-12	r	-10.09972738136961	13.35	0.04		manual
-11270.67	1.051511672926423e-10	2.2220037985582737e-12	i	-10.05194841210816	13.01	0.02		manual
-11270.67	1.1605699292134879e-10	4.877283226472207e-12	z	-9.990194440480272	12.67	0.04		manual
4589.0	1.3629331986712414e-11	1.2553078664028373e-13	R	-10.959748565630322	3.6617180576946593	15.29	0.01	manual
39693.8	1.2316138676979218e-12	2.2687165856687802e-14	R	-12.003748565630325	4.598722677139309	17.9	0.02	manual
128513.0	2.0819704939360373e-13	5.7526970680686834e-15	R	-12.775748565630323	5.108947061851729	19.83	0.03	manual
357732.0	3.719414418625317e-14	7.879126739394267e-15	R	-13.523748565630322	5.553557790587391	21.7	0.23	manual
21058.0	2.1300257100809946e-12	1.7995784866736836e-13	g'	-11.815100178910694	4.32341712135042	17.92	0.09	manual
21058.0	2.3183618117207107e-12	1.0680361962677446e-13	Rc	-11.726869880563411	4.32341712135042	17.19	0.05	manual
21058.0	1.8789609159815766e-12	1.0656574613448726e-13	Ic	-11.791938534788333	4.32341712135042	16.88	0.06	manual
12243.0	2.512828217725862e-11	9.551797963956936e-13	V	-10.718951924798786	4.087887849492933	15.05	0.04	manual
12842.0	2.2498978480305248e-11	8.552343344575408e-13	V	-10.766951924798784	4.108632665580476	15.17	0.04	manual
13441.0	2.0331190063017202e-11	7.728320562417985e-13	V	-10.810951924798784	4.128431581093246	15.28	0.04	manual
12697.0	9.25709179552064e-12	1.7052193258274646e-13	R	-11.127748565630323	4.103701119589514	15.71	0.02	manual
13992.0	7.353169384616546e-12	1.3545038569022605e-13	R	-11.227748565630325	4.14587979647062	15.96	0.02	manual
17695.0	4.231307329913253e-12	1.1691534218081635e-13	R	-11.467748565630323	4.247850566973534	16.56	0.03	manual
18998.0	3.788563495416058e-12	1.0468187794087714e-13	R	-11.515748565630323	4.278707883337975	16.68	0.03	manual
20290.0	3.2097748535288045e-12	1.1825247567364113e-13	R	-11.587748565630324	4.307282047033346	16.86	0.04	manual
21755.0	2.8475710585963472e-12	1.0490839473224357e-13	R	-11.639748565630322	4.337559087628736	16.99	0.04	manual
20807.0	8.168885340943593e-12	2.5592420862581372e-12	V	-11.206951924798783	4.31820946717138	16.27	0.34	manual
21500.0	7.049572808402392e-12	2.403277982819993e-12	V	-11.270951924798783	4.332438459915605	16.43	0.37	manual
22236.0	6.311939104819999e-12	2.4423893947036063e-12	V	-11.318951924798784	4.347056665366522	16.55	0.42	manual
23136.0	6.311939104819999e-12	2.5586271242888084e-12	V	-11.318951924798784	4.364288275614437	16.55	0.44	manual
23813.0	6.08363010457262e-12	2.41006207039079e-12	V	-11.334951924798784	4.376814111968197	16.59	0.43	manual
24498.0	5.756556880950289e-12	2.545523213976516e-12	V	-11.358951924798784	4.38913063030664	16.65	0.48	manual
25225.0	5.497469142318202e-12	2.7346966444606155e-12	V	-11.378951924798784	4.401831174908948	16.7	0.54	manual
26341.0	5.250042272795499e-12	2.7083078579797885e-12	V	-11.398951924798784	4.4206322583341215	16.75	0.56	manual
