time_sec	mag	mag_err	band	source
453734.0	22.63555783987045	0.2	R	manual
537923.0	22.63555783987045	0.3	R	manual
103285.0	19.63555783987045	0.08	R	manual
324209.0	21.88815567731857	0.05	r	manual
324209.0	21.594406275749208	0.03	i	manual
59009.0	17.776998851299286	0.1	J	manual
59009.0	17.648762319087982	0.1	H	manual
59009.0	17.1327978181839	0.1	K	manual
87405.0	13.540364077091215	0.03	u	manual
91756.0	16.100364077091218	0.03	u	manual
41489.0	18.335557839870454	0.1	R	manual
-11270.67	13.598155677318571	0.04	r	manual
-11270.67	13.194406275749206	0.02	i	manual
-11270.67	12.807164385318757	0.04	z	manual
4589.0	15.525557839870451	0.01	R	manual
39693.8	18.13555783987045	0.02	R	manual
128513.0	20.06555783987045	0.03	R	manual
357732.0	21.93555783987045	0.23	R	manual
21058.0	17.420127737522126	0.05	Rc	manual
21058.0	17.044640703201292	0.06	Ic	manual
12243.0	15.347786812782289	0.04	V	manual
12842.0	15.467786812782288	0.04	V	manual
13441.0	15.577786812782287	0.04	V	manual
12697.0	15.945557839870451	0.02	R	manual
13992.0	16.195557839870453	0.02	R	manual
17695.0	16.79555783987045	0.03	R	manual
18998.0	16.915557839870452	0.03	R	manual
20290.0	17.09555783987045	0.04	R	manual
21755.0	17.22555783987045	0.04	R	manual
20807.0	16.567786812782288	0.34	V	manual
21500.0	16.727786812782288	0.37	V	manual
22236.0	16.84778681278229	0.42	V	manual
23136.0	16.84778681278229	0.44	V	manual
23813.0	16.887786812782288	0.43	V	manual
24498.0	16.947786812782287	0.48	V	manual
25225.0	16.997786812782287	0.54	V	manual
26341.0	17.047786812782288	0.56	V	manual

time_sec	mag	mag_err	band	source
1021.6500000000001	20.03333467731857	0.071207	r	nissim
1021.6500000000001	18.580475275749208	0.038748	i	nissim
1021.6500000000001	15.129687385318757	0.058928	z	nissim
