Time	Mag	MagErr	Band		GCN
144	18.40	0.15	White_swift	20179
2628	>19	?	R		20180
233	16.4	0.3	H		20181
808	18.3	0.3	r		20181
144.	18.26	0.05	white_swift	20190
3378.5	18.77	0.19	v_swift		20190
3033.5	19.42	0.17	b_swift		20190
406.	19.48	0.2	u_swift		20190
3608.	19.48	0.25	w1_swift	20190
7118.5	>20.2	?	m2_swift	20190
6168.5	>20.8	?	w2_swift	20190
34200	>20.6	?	R		20193
56.	>16.8	?	R		20194
31	>17.0	?	Unfiltered(red)	20195
3720	19.42	0.10	V		20202
3720	18.69	0.07	I		20202
3720	18.40	0.15	J		20202
3720	16.49	0.11	K		20202
87097	>22.3	?	V		20202
87097	>21.1	?	I		20202
87097	>18.5	?	J		20202
87097	>16.7	?	K		20202
