time_sec	flux	flux_err	band	source
284.0	5.892713785929862e-12	3.580212933832731e-13	u	manual
409.175090074539	2.716673398695353e-12	1.530368279246299e-13	u	uvot
549.471909046173	4.384608041638387e-12	5.156688866381829e-13	b	uvot
614.0	7.095055054703445e-12	8.547694225220223e-13	v	manual
623.668809056282	6.922036795880393e-12	9.39118998928919e-13	v	uvot
697.698919057846	6.326581237907878e-12	5.92676266393719e-13	u	uvot
722.445949077606	6.537250312065754e-12	6.28439395895356e-13	b	uvot
796.173938989639	7.033060886489392e-12	9.516083547024124e-13	v	uvot
1052.2529489994	4.435058787540855e-11	2.7119363908603285e-12	v	uvot
1127.86093902588	4.140700552223838e-11	2.3977537748943625e-12	u	uvot
1152.59183907509	4.504811711615163e-11	2.473894477783176e-12	b	uvot
1225.9392490387	4.633646618945719e-11	2.808725246611244e-12	v	uvot
1299.61590898037	3.577583896266262e-11	2.111268638064845e-12	u	uvot
1324.39093899727	3.481278485644261e-11	1.8897686260570136e-12	b	uvot
1399.55870902538	3.646573920042464e-11	2.3794646892461968e-12	v	uvot
1474.17314898968	2.984860031325252e-11	1.81074008536256e-12	u	uvot
1498.89306902885	3.2208781559484046e-11	1.792925273198996e-12	b	uvot
1573.22790908813	2.6373512297288208e-11	1.937034341326533e-12	v	uvot
1646.65115904808	2.2252300680501008e-11	1.4230185428002705e-12	u	uvot
1671.49752902985	2.5144546344699e-11	1.4865868053649557e-12	b	uvot
1745.55100905895	2.5579840822890264e-11	1.889751888513712e-12	v	uvot
1818.95187902451	1.9620183463393928e-11	1.2887176003820545e-12	u	uvot
1840.17391908169	1.4216182931512293e-11	1.1809636412435633e-12	b	uvot
5695.5370900631	4.131921900144732e-12	2.788871801831032e-13	v	uvot
7389.96169006824	2.809942163406464e-12	1.6437281351040513e-13	u	uvot
7540.52793002129	2.8997480107055097e-12	2.1691048997085986e-13	b	uvot
11097.4618899822	1.3415712495499996e-12	1.0972815117611736e-13	b	uvot
11401.0712500811	1.2280228083198085e-12	9.847258600534505e-14	b	uvot
11704.5702800751	1.1477232073199903e-12	9.166239577593297e-14	b	uvot
16732.9170700312	5.977701518522676e-13	1.4775987849463548e-13	v	uvot
17036.7250500917	7.123634613741769e-13	1.3500748894346996e-13	v	uvot
17340.1744500399	7.830296097129115e-13	1.297248169242654e-13	v	uvot
29023.3307000399	2.1442990824185859e-13	5.4456992817547126e-14	u	uvot
40725.5300000906	1.580239356391111e-13	3.8247861765272495e-14	u	uvot
52322.4475899935	1.2522478409573774e-13	6.190713513929326e-14	b	uvot
55049.0	1.0144155067171629e-13	4.675721782418772e-15	r	manual
58717.0	1.062223436669059e-13	9.78562116183178e-15	r	manual
