940	14	0	R	23414
930	14	0	g'	23415
930	14	0	Rc	23415
930	14	0	Ic	23415
3952	15.6	0.02	n/a	23417
4055	15.64	0.01	n/a	23417
4156	15.68	0.01	n/a	23417
4257	15.77	0.02	n/a	23417
624	16.09	0.13	v_swift	23419
549.5	16.98	0.11	b_swift	23419
409	16.66	0.04	u_swift	23419
673	15.65	0.13	uvw1_swift	23419
1078	14.66	0.11	uvm2_swift	23419
1028	15.74	0.14	uvw2_swift	23419
55800	21.25	0.06	g'	23422
55800	20.58	0.05	r'	23422
55800	19.91	0.08	i'	23422
55800	20.08	0.09	z'	23422
55800	20.16	0.2	J	23422
55800	19.76	0.18	H	23422
55800	19.27	0.18	K	23422
60461.9	20.53	0.1	r'	23423
