time_sec	flux	flux_err	band_init	band_norm	source
49.5	3.9289664791503124e-12	7.237423716611849e-13	R	R	MASTER
49.8	9.869117588833645e-12	1.2725710502990067e-12	R	R	MASTER
54.1	5.6790844068914515e-12	7.845945058297911e-13	R	R	MASTER
54.6	3.9289664791503124e-12	6.151810159120071e-13	R	R	MASTER
59.5	5.6790844068914515e-12	5.753693042751802e-13	R	R	MASTER
64.2	8.208774463143955e-12	6.04844854738735e-13	R	R	MASTER
69.2	6.226992226213242e-12	4.014690252795157e-13	R	R	MASTER
74.1	7.486491288215289e-12	6.205781966066752e-13	R	R	MASTER
74	6.827761203595932e-12	6.288600466369231e-13	R	R	MASTER
74.3	5.179386536702142e-12	5.247430421316339e-13	R	R	MASTER
73.8	4.308026077765767e-12	4.76140638090867e-13	R	R	MASTER
