Time				Mag		MagErr		Band		GCN
859				19.52		0.17		White		23678
300				16.41		0.05		J		23682
300				15.88		0.05		H		23682
300				15.53		0.07		K		23682
61128				20.41		0.10		Ic		23687
59400				21.24		0.08		r		23697
32540.8 	  		20.10 		0.09 		R		23718
333.				>20.58		?	white(fc)	23719
1107.5				19.69		0.13	white		23719
1158.				18.33		0.22	v		23719
1083.				19.57		0.27	b		23719
1145.				>19.64		?	u		23719
1120.5				>19.17		?	uvw1		23719
6684.				>19.66		?	uvm2		23719
1133.				>19.12		?	uvw2		23719
44280				>17.1		?	  R		23731
88920				>20.3		?	  R		23731
