Time       Mag MagErr Band 	GCN
160  >18.1 	?	C	28704        
205  >19.0 	?	C	28704    
216  >18.4 	?	C	28704         
281  >18.4 	?	C	28704         
356  >18.5 	?	C	28704         
447  >18.7 	?	C	28704         
557  >18.8  	?	C	28704        
688  >18.9 	?	C	28704         
843  >18.6  	?	C	28704        
1029  >18.6  	?	C	28704        
1230  >18.6 	?	C	28704         
1431  >18.6 	?	C	28704        
1631  >18.6 	?	C	28704         
1772  >18.6  	?	C	28704        
1852  >18.8  	?	C	28704        
2013  >18.6  	?	C	28704        
4831  >18.3  	?	C	28704        
4912  >18.6  	?	C	28704        
4992  >18.7  	?	C	28704        
5073  >18.7  	?	C	28704        
5233  >18.9  	?	C	28704        
5315  >18.7  	?	C	28704        
5814  >18.4   	?	C	28704       
5895  >18.6  	?	C	28704        
6260  >18.6  	?	C	28704        
194.832		13.7	?	Unfiltered	28718
68636.2		19.0		0.1		r		28719
76575.5    	18.99  		0.03   R		28725
73804.5		19.54		0.09	white	28743
74147.5		19.3		0.28	v	28743
72461.5		19.12		0.11	u	28743
73462.		19.41		0.19	u	28743
92880				20.869		2.311		r'(AB)		28750
92880				19.368		0.696		i'(AB)		28750
77220    	19.36 0.07  r	28753	
77508    	19.49 0.08  r	28753
77832    	19.37 0.07  r	28753
90540    	19.64 0.02  r	28753
92772   	19.79 0.02 r	28753
96696    	19.83 0.03  r	28753
100476    	19.83 0.03  r	28753
103212    	19.89 0.02  r	28753
297043		21.45	?	i'(AB)	28765
174696       	20.40 0.05  R	28768
250317     	 20.99 0.26  R	28768
179784    	20.592  0.172   SDSS-r	28769
180144    	20.566  0.264   SDSS-i	28769
101808 		19.741  0.0262 	R	28772
102917 		19.298  0.0468 	I	28772
90828		19.60  0.12  Sloan-r	28773
93708   	20.02  0.15 Sloan-g	28773
187992		21.01   0.04 r 28776
269280  	21.28	0.04 Rc 28776
265259           21.34   0.05   R	 28781
352220           21.83	0.05   R	 28781
