time_sec	flux	flux_err	band	logF	logT	mag	mag_err
475923.0	5.251113849905774e-14	3.8691636711704346e-15	R	-13.279748565630323	5.677536693518479	21.09	0.08
478757.0	3.94685738868527e-14	7.270379989888087e-15	R	-13.403748565630321	5.6801151369279035	21.4	0.2
647335.0	2.7305581792926965e-14	5.029874047353861e-15	R	-13.563748565630323	5.811129089013814	21.8	0.2
659002.0	3.2828529856172864e-14	9.07085801660803e-15	R	-13.483748565630325	5.818886732632926	21.6	0.3
194625.0	1.5144377769632657e-13	1.2553638658209564e-14	R	-12.819748565630324	5.2891986255761765	19.94	0.09
210052.0	1.3069273134471979e-13	4.814898159312439e-14	R	-12.883748565630324	5.322326821007687	20.1	0.4
204106.0	1.343542578690367e-13	1.6086829790175135e-14	R	-12.871748565630323	5.309855771637142	20.07	0.13
205864.0	1.1761377784665304e-13	1.767563993900237e-14	I	-12.929541799924134	5.313580406995391	19.79	0.15
285273.0	8.170552678098796e-14	3.010142847698058e-15	R	-13.087748565630323	5.455260669287984	20.61	0.04
377556.0	6.141174449640808e-14	2.8281153482437676e-15	R	-13.211748565630323	5.5769813763288125	20.92	0.05
726104.0	3.1063574902917264e-14	2.5749548822362046e-15	R	-13.507748565630322	5.8609988292281265	21.66	0.09
983436.0	3.1130601328882783e-14	4.305454244833641e-15	r	-13.506812490262126	5.992746102179872	21.86	0.15
1066228.0	2.7305581792926965e-14	1.0059748094707721e-14	R	-13.563748565630323	6.027850083259122	21.8	0.4
1074461.0	2.318395417653928e-14	2.9931218817180732e-15	r	-13.634812490262126	6.031190656409889	22.18	0.14
208800.0	1.202960685974997e-13	3.3239032115807034e-15	R	-12.919748565630323	5.319730494330225	20.19	0.03
2255.0	2.472791559947686e-12	4.8216039576237107e-14	r	-11.606812490262126	3.3531465462139796	17.11	0.02
81575.0	3.4134025589945973e-13	1.898897741377595e-14	r	-12.466812490262127	4.911557082459913	19.26	0.06
85055.0	2.7291446294064583e-13	2.7285584159563327e-14	g	-12.563973448540883	4.9296998489137	19.7	0.07
265835.0	9.061237418368623e-14	8.365790546193265e-15	r	-13.042812490262126	5.424612159850437	20.7	0.1
