time_sec	flux	flux_err	band_init	band_norm	source
0.841	4.339543203815475e-14	9.993157181528478e-15	Rc	R	astroph_9804309
0.944	4.58610523978134e-14	7.604578845479768e-15	Rc	R	astroph_9804309
1.866	1.7117645044161663e-13	4.7622031345508835e-15	Rc	R	astroph_9804309
2.026	1.5611477824522405e-13	4.343180877925096e-15	Rc	R	astroph_9804309
2.856	1.1842516990748058e-13	3.2946396182895333e-15	Rc	R	astroph_9804309
3.966	7.268486974439706e-14	3.355540495530791e-15	Rc	R	astroph_9804309
4.976	4.75821450420502e-14	3.0716076266507327e-15	Rc	R	astroph_9804309
11.891	2.2840184837720604e-14	3.82716637994581e-15	V	R	astroph_9804309
11.971	2.4515684096308055e-14	2.259375367807729e-15	Rc	R	astroph_9804309
12.066	3.0708289399317674e-14	3.8152589847691144e-15	Ic	R	astroph_9804309
12.988	1.894279313155671e-14	2.4433453851345065e-15	Rc	R	astroph_9804309
13.004	2.1217763982083283e-14	2.784221807560809e-15	V	R	astroph_9804309
13.038	1.6265058319264292e-14	2.0208032132113997e-15	Ic	R	astroph_9804309
30.085	4.4611211399462865e-15	4.1113872967219693e-16	Rc	R	astroph_9804309
31.06	2.8823612990541947e-15	6.838055544694939e-16	B	R	astroph_9804309
31.075	4.5993834079057246e-15	1.02282842316804e-15	V	R	astroph_9804309
31.087	4.982462245102929e-15	9.17945498924694e-16	Rc	R	astroph_9804309
33.024	5.990237154111279e-15	1.2139419505270666e-15	Rc	R	astroph_9804309
33.036	3.687224783227299e-15	8.537438254640342e-16	V	R	astroph_9804309
33.041	5.744544854048804e-15	1.8615954546601948e-15	Ic	R	astroph_9804309
36.05	2.5807647487568815e-15	3.639667777924774e-16	B	R	astroph_9804309
36.061	5.5647289650096835e-15	7.177692720262194e-16	Rc	R	astroph_9804309
36.088	4.734298367623408e-15	1.5342117689204208e-15	Ic	R	astroph_9804309
49.961	2.8823612990541947e-15	6.068091020138457e-16	B	R	astroph_9804309
49.969	3.3939044726792373e-15	5.069184880669643e-16	V	R	astroph_9804309
49.989	3.642872879375293e-15	5.369633904578102e-16	Rc	R	astroph_9804309
50.006	5.960128522016772e-15	7.935367146611478e-16	Ic	R	astroph_9804309
60.042	3.030009683796838e-15	5.58234787162363e-16	Rc	R	astroph_9804309
60.057	5.691878550260899e-15	8.086990274956045e-16	Ic	R	astroph_9804309
83.94	1.9835539467875593e-15	4.56775412464176e-16	Rc	R	astroph_9804309
83.952	2.2840184837720606e-15	5.079287411064034e-16	V	R	astroph_9804309
83.958	5.797698473145715e-15	1.2431299171706501e-15	Ic	R	astroph_9804309
85.902	2.5202522810724693e-15	8.12474403095215e-16	Rc	R	astroph_9804309
85.92	2.305152246599452e-15	5.337373263059647e-16	V	R	astroph_9804309
85.95	1.3544045932972434e-15	3.213162014767383e-16	B	R	astroph_9804309
87.085	6.015276912233384e-15	8.00879219479573e-16	Ic	R	astroph_9804309
161222.4	1.1474887012793673e-13	7.281219052559404e-15	B	R	astro-ph/9712100
175046.4	1.0465221336052164e-13	6.640550699658929e-15	B	R	astro-ph/9712100
246758.4	7.042849662011705e-14	4.78714932888534e-15	B	R	astro-ph/9712100
342662.4	4.653164626993648e-14	3.698246853002802e-15	B	R	astro-ph/9712100
429926.4	3.102761671544742e-14	2.672622304928695e-15	B	R	astro-ph/9712100
161222.4	1.4952011217154825e-13	5.505388521928349e-15	V	R	astro-ph/9712100
175046.4	1.290326492637572e-13	4.751032191546673e-15	V	R	astro-ph/9712100
246758.4	9.788127417809231e-14	3.60402647874907e-15	V	R	astro-ph/9712100
342662.4	5.737195038704128e-14	2.5331866965349816e-15	V	R	astro-ph/9712100
429926.4	4.0803706419912126e-14	2.1253314183053216e-15	V	R	astro-ph/9712100
161222.4	1.7117645044161663e-13	4.7622031345508835e-15	Rc	R	astro-ph/9712100
175046.4	1.5611477824522405e-13	4.343180877925096e-15	Rc	R	astro-ph/9712100
246758.4	1.1842516990748058e-13	3.2946396182895333e-15	Rc	R	astro-ph/9712100
342662.4	7.268486974439706e-14	3.355540495530791e-15	Rc	R	astro-ph/9712100
429926.4	4.75821450420502e-14	3.0716076266507327e-15	Rc	R	astro-ph/9712100
1.1314944e6	1.7117645044161697e-14	2.365540651840758e-15	Rc	R	astro-ph/9712100
2.7385344e6	6.330587508806984e-15	5.834295067990284e-16	Rc	R	astro-ph/9712100
161222.4	2.0857181711476294e-13	1.0338569636523451e-14	Ic	R	astro-ph/9712100
175046.4	1.8847581276905983e-13	8.135549056821448e-15	Ic	R	astro-ph/9712100
246758.4	1.4563160128678544e-13	7.218724332029036e-15	Ic	R	astro-ph/9712100
342662.4	8.30339359687597e-14	5.351427921896924e-15	Ic	R	astro-ph/9712100
429926.4	5.797698473145716e-14	5.176211542923432e-15	Ic	R	astro-ph/9712100
