time_sec	flux	flux_err	band	source
1198.97	5.970573180773917e-13	1.6497303363216077e-14	R	26036
16332	4.600617454953741e-13	1.7848191066574024e-14	i	26039
37080	3.5501267744356196e-13	3.71026000796841e-15	r'	26042
37080	4.312239690959726e-13	1.6752359679627897e-14	i'	26042
4641	3.6959580056568775e-13	1.0648399985344568e-13	b_swift	26053
5461	1.5698483474858268e-13	3.457257660527837e-14	uvm2_swift	26053
4436	1.8023520294423045e-13	2.268686088450534e-14	u_swift	26053
5256	5.749461773279672e-13	2.045619631255607e-14	v_swift	26053
4231	1.9510274433369602e-13	3.566784885158898e-14	uvw1_swift	26053
5051.5	1.606166725320242e-13	3.786510621845119e-14	uvw2_swift	26053
