time_sec	flux	flux_err	band_init	band_norm	source
66.5	6.837303704373866e-11	4.37274411982386e-12	v_swift	R	arXiv1212.0973
637	3.3028197366169408e-12	8.583726584766892e-13	v_swift	R	arXiv1212.0973
810	2.1032208146439314e-12	8.357163254242855e-13	v_swift	R	arXiv1212.0973
1409.5	1.1881872043872085e-12	3.7404343833693856e-13	v_swift	R	arXiv1212.0973
562	1.143331298521352e-12	4.2959469151022853e-13	b_swift	R	arXiv1212.0973
735	7.909920023380367e-13	4.33782546724212e-13	b_swift	R	arXiv1212.0973
1335	3.4847537362480915e-13	2.1976261318885852e-13	b_swift	R	arXiv1212.0973
311.5	5.669744564393929e-13	1.840268597328447e-13	u_swift	R	arXiv1212.0973
336.5	7.007506242648634e-13	1.9755321748231894e-13	u_swift	R	arXiv1212.0973
361.5	7.47417897790586e-13	1.9819301208570218e-13	u_swift	R	arXiv1212.0973
386.5	9.153000652549783e-13	2.2013910816167445e-13	u_swift	R	arXiv1212.0973
411.5	6.630762815296931e-13	1.9253466328100481e-13	u_swift	R	arXiv1212.0973
436.5	4.503638191172614e-13	1.6970826152736565e-13	u_swift	R	arXiv1212.0973
461.5	4.340737200553534e-13	1.7120882136066225e-13	u_swift	R	arXiv1212.0973
486.5	4.2615098178337576e-13	1.6808390819770612e-13	u_swift	R	arXiv1212.0973
511.5	5.315737092550266e-13	1.771296239877214e-13	u_swift	R	arXiv1212.0973
536.5	2.713710364301647e-13	1.580157655531298e-13	u_swift	R	arXiv1212.0973
37242	1.3262526335707232e-14	3.66457145232485e-15	R	R	12220
799.5	2.0271452642438765e-12	4.343558547579646e-13	v_swift	R	12222
551.5	9.081803320594868e-13	2.037379060146915e-13	b_swift	R	12222
410	3.8156057389320066e-13	5.175611492516053e-14	u_swift	R	12222
1127.5	2.0776074470492472e-13	8.745753696679456e-14	u_swift	R	12222
4.86	9.630933402849268e-12	1.8188137342996178e-12	I	R	12242
