time_sec	flux	flux_err	band_init	band_norm	source
606	6.428890493937248e-12	6.536078508577507e-13	v_swift	R	15795
532	3.691185737782677e-12	3.142669432037826e-13	b_swift	R	15795
389	1.9077680503412707e-12	9.060355155976868e-14	u_swift	R	15795
34674	3.6730431068345243e-13	1.6914988607443425e-14	R	R	15797
35030.4	3.2887133802044383e-13	1.8174101770533117e-14	R	R	15797
35386.8	3.3498551268545855e-13	1.851198354908411e-14	R	R	15797
37518	2.9445980846265586e-13	1.6272450370847838e-14	R	R	15797
45576	2.317533524849589e-13	2.134527258733044e-14	R	R	15800
36570	6.886445576395086e-14	8.939143517490773e-15	g'	R	15803
36570	2.9566940366412415e-13	2.1788068117472413e-14	Rc	R	15803
36570	3.463743956038068e-13	3.2131206182745215e-14	Ic	R	15803
135	1.3034502415682049e-11	2.410463271282779e-13	r'	R	15806
25200.67	3.4121335834430124e-13	1.571345584908047e-14	R	R	15807
26109.84	3.8817362673992517e-13	2.5026478579894026e-14	R	R	15807
27955.344	3.8108865958652875e-13	2.456969386684466e-14	R	R	15807
39486.288	2.6364893736794416e-13	1.9426371614948768e-14	R	R	15807
41829.456	2.0371641518532366e-13	1.6886677708940832e-14	R	R	15807
596160	2.6735878374857452e-14	1.724278782336257e-15	r'	R	15835
