time,mag,err,band,gcn
trigger  time 12:06:13.57 12:15:41 texp 567,15.34,0,R,1564
trigger  time 12:06:13.57 12:18:15 texp 721,15.49,0,R,1564
trigger  time 12:06:13.57 12:23:22 texp 1028,15.78,0,R,1564
Oct  4 12:41 UT,16.3,0,R,1566
Oct  4 14:13 UT,16,0,R,1567
Oct  4 19:52 UT,17.7,0,Rc,1570
Oct  4 20:17:31,18.14,0,R,1573
Oct  4 20:24:00,18.12,0,R,1573
Oct  4 21:48:20,18.32,0,R,1573
Oct  4 22:37:37,18.4,0,R,1573
Oct  4 23:55:35,18.68,0,R,1573
Oct  5  03:00,19.1,0,R,1576
Oct  5  04:46,19.21,0,R,1576
Oct  5  05:55,19.24,0,R,1576
Oct  5  07:23,19.25,0,R,1576
Oct  5  08:43,19.23,0,R,1576
Oct  5  09:53,19.31,0,R,1576
Oct  5   05:28:19,19.23,0,R,1577
Oct  5   06:47:00,19.29,0,R,1577
Oct  5   07:02:00,19.33,0,R,1577
Oct  5   09:42:24,19.35,0,R,1577
Oct  5 03:02,19.06,0.06,R,1578
Oct  5 03:36,19.17,0.05,R,1578
Oct  5 04:26,19.24,0.03,R,1578
Oct  5 04:51,19.3,0.04,R,1578
Oct  5 05:15,19.3,0.03,R,1578
Oct  5 05:39,19.25,0.03,R,1578
Oct  5 06:10,19.33,0.03,R,1578
Oct  5 06:34,19.3,0.04,	R,1578
Oct  5 06:56,19.32,0.03,R,1578
Oct  5 07:19,19.42,0.03,R,1578
Oct  5 07:42,19.31,0.03,R,1578
Oct  5 08:05,19.31,0.03,R,1578
Oct  5 08:28,19.31,0.03,R,1578
Oct  5 08:50,19.27,0.03,R,1578
Oct  5 09:13,19.29,0.03,R,1578
Oct  5 09:41,19.34,0.03,R,1578
Oct  5 10:03,19.34,0.03,R,1578
Oct  5 10:41,19.41,0.03,R,1578
Oct  5 11:04,19.39,0.03,R,1578
Oct  5 11:26,19.41,0.04,R,1578
Oct  5 11:50,19.39,0.04,R,1578
Oct  4 19:48:09   900 s,17.82,0.03,R,1580
Oct  4 20:08:25   600 s,17.18,0.04,R,1580
Oct  4 20:20:19  1200 s,18.19,0.11,R,1580
Oct  4 16:41 UT	,17.11,0,R,1581
Oct  4 22:47 UT,18.26,0,R,1581
Oct  5 04:52:36,19.14,0.1,R,1584
Oct  5 06:20:25,19.23,0.1,R,1585
Oct 5  20:24:58 tdays 1.346,19.54 0.04,0.04,R,1585
Oct 5  20:36:28 tdays 1.354,19.53 0.04,0.04,R,1585
Oct 5  22:22:31 1.428,19.62,0.05,R,1585
Oct 6  00:10:41 1.503,19.66,0.04,R,1585
Oct 5  12:11 UT,19.29,0.05,R,1586
Oct 6  02:30 UT,19.92,0.1,R,1586
Oct 4 16:34:36,17.13,	0.01,R,1587
Oct 4 16:44:03,17.2,0.01,R,1587
Oct 4 16:52:29,17.24,0.01,R,1587
Oct 4 17:01:16,17.21,0.01,R,1587
Oct 4 17:09:26,17.28,0.01,R,1587
Oct 4 17:18:12,17.39,0.01,R,1587
Oct 4 18:04:37,17.69,0.01,R,1587
Oct 4 19:48:36,17.9,0.02,R,1587
Oct 4 20:33:36,18.06,0.02,R,1587
Oct 4 22:05:58,18.2,0.03,R,1587
Oct 4 23:36:22,18.46,0.05,R,1587
Oct 4 17:34:18,18.42,0.01,B,1587
Oct 4 20:01:07,18.9,0.02,B,1587
Oct 4 22:18:14,19.18,0.03,B,1587
Oct 4 23:03:11,19.31,0.03,B,1587
Oct 4 17:42:32,18.01,0.01,V,1587
Oct 4 20:14:38,18.5,0.02,V,1587
Oct 4 22:40:30,18.77,0.03,V,1587
Oct 4 23:14:33,18.78,0.03,V,1587
Oct 5 17:38,19.38,0,R,1587
Oct 5 22:10,19.7,0,R,1587
12:09:42 UT(mean epoch)    exp 208 s,13.6,0,R,1589
12:10:21       247,13.6,0,R,1589
12:11:00       286,13.6,0,R,1589
12:11:40       326,14.2,0,R,1589
12:12:19       365,13.6,0,R,1589
021004  19:53  (nxs)60x22,17.9,0,Rc,1591
021004  21:24  120x10,17.96,0,Rc,1591
021004  21:48  120x11,18.22,0,Rc,1591
021004  22:25  240x9,18.37,0,Rc,1591
021004  23:26  240x10,18.41,0,Rc,1591
021004  00:13  240x10,19.25,0,V,1591
021005  01:04  240x10,18.83,0,Rc,1591
021005  01:28  60x12,19,0,CR,1591
021005  02:08  300x3,19,0,CR,1591
021005  04:43  20x60,19.2,0,Rc,1591
Oct 6 02:41,19.84,0.03,R,1593
Oct 6 07:03,19.91,0.02,R,1593
Oct 6 11:39,20,0.02,R,1593
October 5.080 to 5.149 UT,19.34,0.02,V,1595
Oct 6  19:57:07  tdays  2.327,20.12,0.1,Rc,1597
Oct 6  20:37:26  tdays  2.355,20.08,0.01,Rc,1597
Oct 6  21:56:38  tdays  2.410,20.16,0.03,Rc,1597
Oct 6  22:08:09  tdays  2.418,20.15,0.03,Rc,1597
Oct 6  11:25 UT,20.08,0.05,R,1598
Oct 7  11:09 UT,20.09,0.06,R,1598
Oct 6	12:26 UT,17.74,	0.05,H,1601
Oct 7	11:31 UT,18.21,	0.05,H,1601
Oct 7	02:38,20.19,0.03,R,1602
Oct 7	06:37,20.14,0.02,R,1602
Oct 7	11:21,20.21,0.04,R,1602
Oct 7	18.45,20.4,0.1,R,1603
021004   18  58  12,17.89,0.05,Rc,1606
021004   19  31  49,17.88,0.05,Rc,1606
