Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
340,18.5,0,V,swift,Swift/BAT ,no,5699
1227,18.7,0.3,R,Bessel,2m-Faulkes-Telescope-Australia,no,5700
1578,18,0.3,R,Bessel,2m-Faulkes-Telescope-Australia,no,5700
9222,20.85,0,v_swift,swift,Swift/UVOT,no,5711
15427,21.23,0,b_swift,swift,Swift/UVOT,no,5711
23210,21.86,0,u_swift,swift,Swift/UVOT,no,5711
21181,21.5,0,uvw1_swift,swift,Swift/UVOT,no,5711
18226.5,21.69,0,uvm2_swift,swift,Swift/UVOT,no,5711
9017.5,21.12,0,uvw2_swift,swift,Swift/UVOT,no,5711
53752.8,22.35,0.05,I,Vega,VLT/FORS1,no,arXiv0901.4038
1138888.8,22.94,0.07,I,Vega,VLT/FORS1,no,arXiv0901.4038
216060,22.91,0.09,I,Vega,VLT/FORS1,no,arXiv0901.4038
179055,22.96,0.12,R,Vega,VLT/FORS1,no,arXiv0901.4038
11487319.8,21.2,0,K,Vega,VLT/ISAAC,no,arXiv0901.4038
11874082.5,25.92,0.12,B,Vega,VLT/FORS2,no,arXiv0901.4038
13251484.2,22,0.2,J,Vega,VLT/ISAAC,no,arXiv0901.4038
13679277.4,24.56,0.07,V,Vega,VLT/FORS1,no,arXiv0901.4038
13680612.3,23.05,0.12,I,Vega,VLT/FORS1,no,arXiv0901.4038
