Time_aftertrigger(s)		Mag		MagErr		Band			GCN
100				>17.2		?		2polarizations		18316
13320				23.0 		0.1		g'		18317
13320				23.1 		0.1		r'		18317
13320				22.9 		0.2		i'		18317
13320				22.7 		0.2		z'		18317
13320				>19.9		?		J		18317
13320				>19.3		?		H		18317
13320				>17.9		?		K		18317
420.				>20.0		?		u_FC	18322
672.5				>19.9		?		white	18322
721.5				>18.2		?		v	18322
647.5				>19.2		?		b	18322
2281.				>20.0		?		u	18322
9000				>16.47		?	  	J	18325
9000				>15.91		?	  	H 	18325
9000				>15.64		?	  	Ks	18325				
