Time	Mag	MagErr	Filter	Telescope	GalExtCorr	Source
2902	18.5	0	White_swift	Swift/UVOT	no	7099
39030	21	0	i	Swope-40inch	no	7104
34884	23.3	0	R	Gemini-South	no	7105
37440	20	0	I	TAROT-robotic	yes	7108
23728.5	21.2	0	v_swift	Swift/UVOT	no	7112
32682	22.9	0	white_swift	Swift/UVOT	no	7112
32689.5	22.5	0	b_swift	Swift/UVOT	no	7112
30086.5	22.2	0	u_swift	Swift/UVOT	no	7112
29601.5	22.4	0	uvw1_swift	Swift/UVOT	no	7112
17888.5	21.8	0	uvm2_swift	Swift/UVOT	no	7112
33486.5	22.1	0	uvw2_swift	Swift/UVOT	no	7112
