Time      Mag		MagErr       		Filter           		Source
46440     21.0             0                     R              	4068
6123.5    20.5             0                     V              	4089
2529.5    20.9             0                     B_swift              4089
2343      20.4             0                     U_swift              4089
2665      21.0             0                   UVW1_swift             4089
2400.5    21.3             0                   UVM2_swift             4089
3306      21.6             0                   UVW2_swift             4089
552       18.5              0                   WHITE_swift            4089
194328    22.20            0.15                   R              	4094
        
