Time         Mag	MagErr     Filter			Source
566.25       16.6     0     	   Unfiltered		8807
775.35       17.3     0           Unfiltered		8807       
1344.5       17.3     0    	   Unfiltered		8807      
7488	     23.4	0		R		8812
21960        23.3	0		g'		8812
21960	     23.4	0		r'		8812
21960	     22.6	0		i'		8812
21960        22.6	0		z'		8812
21960	     21.3	0		J		8812
21960	     20.7	0		H		8812
21960	     20.0	0		K		8812
154          20.73	0	  	White		8813
26389        21.1	0	  	R		8814
28148        20.5	0	  	I		8814
