Time	Mag	MagErr	Filter	Telescope	Source
361.5	14.54	0.11	CR	TAROT	klotz05
383.5	14.31	0.09	CR	TAROT	klotz05
405.5	14.54	0.11	CR	TAROT	klotz05
435.5	14.66	0.12	CR	TAROT	klotz05
471.5	14.65	0.12	CR	TAROT	klotz05
507.5	14.79	0.21	CR	TAROT	klotz05
594.5	14.95	0.14	CR	TAROT	klotz05
615.5	15.08	0.15	CR	TAROT	klotz05
637.5	15.44	0.18	CR	TAROT	klotz05
665.5	15.36	0.17	CR	TAROT	klotz05
703.5	15.16	0.15	CR	TAROT	klotz05
739.5	15.25	0.16	CR	TAROT	klotz05
797.5	15.29	0.16	CR	TAROT	klotz05
863.5	15.29	0.16	CR	TAROT	klotz05
930.5	15.39	0.25	CR	TAROT	klotz05
995.5	16.12	0.23	CR	TAROT	klotz05
1065.5	15.8	0.2	CR	TAROT	klotz05
1135.5	15.81	0.2	CR	TAROT	klotz05
1135.5	15.81	0.2	CR	TAROT	klotz05
1205.5	15.97	0.22	CR	TAROT	klotz05
1275.5	15.94	0.21	CR	TAROT	klotz05
1345.5	16.25	0.31	CR	TAROT	klotz05
1405.5	15.78	0.2	CR	TAROT	klotz05
1545.5	16.19	0.23	CR	TAROT	klotz05
1625.5	15.92	0.21	CR	TAROT	klotz05
1755.5	16.48	0.25	CR	TAROT	klotz05
1825.5	16.39	0.26	CR	TAROT	klotz05
1885.5	16.64	0.27	CR	TAROT	klotz05
2065.5	15.97	0.22	CR	TAROT	klotz05
2185.5	15.79	0.26	CR	TAROT	klotz05
2315.5	16.24	0.35	CR	TAROT	klotz05
2565.5	15.88	0.21	CR	TAROT	klotz05
3135.5	16.43	0.25	CR	TAROT	klotz05
3915.5	16.53	0.26	CR	TAROT	klotz05
4685.5	17.11	0.3	CR	TAROT	klotz05
6495.5	17.36	0.32	CR	TAROT	klotz05
66.5	13.21	0.24	v	UVOT	blustin06
67.5	12.9	0.23	v	UVOT	blustin06
68.5	12.86	0.23	v	UVOT	blustin06
69.5	13.01	0.23	v	UVOT	blustin06
70.5	12.97	0.23	v	UVOT	blustin06
71.5	13.31	0.23	v	UVOT	blustin06
72.5	13.13	0.23	v	UVOT	blustin06
73.5	13.01	0.23	v	UVOT	blustin06
80.5	13.13	0.1	v	UVOT	blustin06
85.5	13.26	0.1	v	UVOT	blustin06
90.5	13.18	0.1	v	UVOT	blustin06
95.5	13.24	0.11	v	UVOT	blustin06
100.5	13.25	0.11	v	UVOT	blustin06
105.5	13.51	0.11	v	UVOT	blustin06
110.5	13.44	0.11	v	UVOT	blustin06
115.5	13.67	0.11	v	UVOT	blustin06
120.5	13.48	0.11	v	UVOT	blustin06
