Time	Mag	MagErr+	MagErr-	Telescope	Filter	Source
342.0	20.12	0.15	0.15	Faulkes-north	R	7801
123.0	17.5	0.0	0.0	0.6m-Super-LOTIS	R	7802
18887.0	20.0	0.0	0.0	50cm-MITSuME	g'	7821
18887.0	19.2	0.0	0.0	50cm-MITSuME	Rc	7821
18887.0	18.6	0.4	0.4	50cm-MITSuME	Ic	7821
178.5	20.1	0.2	0.2	Swift/UVOT	white	7820
734.5	19.7	0.0	0.0	Swift/UVOT	white	7820
918.5	21.0	0.3	0.2	Swift/UVOT	white	7820
1565.0	20.7	0.0	0.0	Swift/UVOT	white	7820
6200.0	21.8	0.5	0.4	Swift/UVOT	white	7820
435.0	20.1	0.0	0.0	Swift/UVOT	v	7820
1071.0	20.0	0.0	0.0	Swift/UVOT	v	7820
1610.0	18.8	0.0	0.0	Swift/UVOT	v	7820
6624.0	19.9	0.0	0.0	Swift/UVOT	v	7820
17942.0	20.3	0.0	0.0	Swift/UVOT	v	7820
720.5	19.0	0.0	0.0	Swift/UVOT	b	7820
1545.5	19.8	0.0	0.0	Swift/UVOT	b	7820
6008.5	21.0	0.0	0.0	Swift/UVOT	b	7820
776.5	19.4	0.0	0.0	Swift/UVOT	u	7820
1521.0	19.4	0.0	0.0	Swift/UVOT	u	7820
5758.5	20.7	0.0	0.0	Swift/UVOT	u	7820
12953.0	21.0	0.0	0.0	Swift/UVOT	u	7820
1202.5	19.6	0.0	0.0	Swift/UVOT	uw1	7820
9404.0	21.2	0.0	0.0	Swift/UVOT	uw1	7820
9865.5	21.6	0.0	0.0	Swift/UVOT	um2	7820
9113.5	21.4	0.0	0.0	Swift/UVOT	uw2	7820
