Time	Mag	MagErr	Filter	Telescope	Source
153.0	19.9	0	White	none	8687
415.0	19.8	0	u	none	8687
11664.0	23.0	0	R	none	8688
14868.0	23.0	0	I	none	8689
43129.0	20.1	0	K	none	8698
153.0	20.84	0	wh_swift	Swift/UVOT	8703
629.0	17.89	0	v_swift	Swift/UVOT	8703
555.0	18.85	0	b_swift	Swift/UVOT	8703
415.0	20.15	0	u_swift	Swift/UVOT	8703
678.0	18.1	0	uvw1_swift	Swift/UVOT	8703
654.0	17.71	0	uvm2_swift	Swift/UVOT	8703
605.0	18.08	0	uvw2_swift	Swift/UVOT	8703
3082.0	21.41	0	wh_swift	Swift/UVOT	8703
17377.5	20.74	0	v_swift	Swift/UVOT	8703
20907.0	21.55	0	b_swift	Swift/UVOT	8703
20384.0	21.69	0	u_swift	Swift/UVOT	8703
20116.5	21.57	0	uvw1_swift	Swift/UVOT	8703
22911.0	21.55	0	uvm2_swift	Swift/UVOT	8703
17189.0	21.35	0	uvw2_swift	Swift/UVOT	8703
118725.0	24.0	0	z'	La-Silla/-2.2m-ESO/MPI	8719
118725.0	21.0	0	J	La-Silla/-2.2m-ESO/MPI	8719
118725.0	19.8	0	H	La-Silla/-2.2m-ESO/MPI	8719
118725.0	19.0	0	K	La-Silla/-2.2m-ESO/MPI	8719
