Time	Mag	MagErr	Filter	Telescope	Source
3275.0	19.6	0.0	White	Swift/UVOT	10486
702.0	20.5	0.0	R	none	10487
3275.5	21.08	0.0	white(FC)_swift	Swift/UVOT	10499
4589.0	21.32	0.0	white_swift	Swift/UVOT	10499
10454.0	20.48	0.0	v_swift	Swift/UVOT	10499
4384.0	20.79	0.0	b_swift	Swift/UVOT	10499
7443.0	20.66	0.0	u_swift	Swift/UVOT	10499
7689.5	21.11	0.0	uvw1_swift	Swift/UVOT	10499
10846.5	21.11	0.0	uvm2_swift	Swift/UVOT	10499
9894.5	21.28	0.0	uvw2_swift	Swift/UVOT	10499
2325.0	20.0	0.0	R	TAROT-robotic-25cm	10504
61007.0	21.6	0.0	R	CrAO/-Shajn	10521
21980.0	22.0	0.2	R	Mt.Lemmon/1.0m	10565
