Time	Mag	MagErr	Filter	Source
146	19.6	0	White	10841
1735	24	0	i'	10842
6984	18.8	0	J	10843
6984	17.9	0	H	10843
6984	16.6	0	Ks	10843
1497	24.2	0	g'	10844
1497	23.9	0	r'	10844
1497	22.9	0	i'	10844
1497	22.5	0	z'	10844
1497	21.4	0	J	10844
1497	20.7	0	H	10844
1497	20.3	0	K	10844
147.0	21.5	0	white(fc)_swift	10856
939.0	21.5	0	white(fc)_swift	10856
409.0	20.7	0	u(fc)_swift	10856
3825.0	20.6	0	v_swift		10856
3480.5	21.1	0	b_swift		10856
3250.0	21.1	0	u_swift		10856
4049.5	21.1	0	uvw1_swift	10856
3710.5	21.1	0	uvw2_swift	10856
3349.5	22.2	0	white_swift	10856
19800	22.1	0	J		10861
19800	20.9	0	K		10861
772167	22.2	0	K'		10928
