time,mag,err,band,sys,Observatory,source,gal_ext_corr
2241,20.931,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2271.96,20.918,0.017,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2302.92,20.973,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2310.48,20.925,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2317.32,20.954,0.02,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2323.8,20.952,0.028,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2330.28,20.997,0.027,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2337.12,20.995,0.033,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2343.6,21.023,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2350.08,20.989,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2356.92,20.975,0.035,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2363.4,21.005,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2369.88,20.99,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2376.36,21.01,0.027,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2383.2,20.962,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2390.04,20.996,0.038,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2396.52,21.051,0.032,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2403,20.991,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2409.48,21.023,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2416.32,21.07,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2422.8,21.02,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2429.64,21.037,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2436.12,21.057,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2442.6,21.028,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2449.44,21.028,0.028,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2455.92,21.073,0.029,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2462.4,21.056,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2469.24,21.051,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2475.72,21.036,0.028,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2482.2,21.052,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2488.68,21.034,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2495.16,21.077,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2525.04,21.079,0.024,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2531.52,21.05,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2538.36,21.044,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2544.84,21.047,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2551.32,21.052,0.02,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2557.8,21.036,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
2564.64,21.086,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
6266.52,22.33,0.04,Rc,,VATT,arXiv:astro-ph/0502319,yes,0.06
6426.36,22.351,0.02,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
6455.16,22.367,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
9842.76,22.97,0.05,Rc,,VATT,arXiv:astro-ph/0502319,yes,0.06
9920.52,22.878,0.06,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
10470.96,22.98,0.08,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
10503.36,23.072,0.07,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
13415.76,23.33,0.08,Rc,,VATT,arXiv:astro-ph/0502319,yes,0.06
13871.16,23.539,0.07,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
13900.68,23.568,0.07,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
35503.92,24.119,0.16,Rc,,MMT,arXiv:astro-ph/0502319,yes,0.06
99274.68,24.08,0.1,Rc,,Clay,arXiv:astro-ph/0502319,yes,0.06
110703.96,24.04,0.1,Rc,,Clay,arXiv:astro-ph/0502319,yes,0.06
132854.4,23.87,0.11,Rc,,Keck II,arXiv:astro-ph/0502319,yes,0.06
203487.12,24.77,0.12,Rc,,Baade,arXiv:astro-ph/0502319,yes,0.06
232385.76,25.11,0.23,Rc,,Baade,arXiv:astro-ph/0502319,yes,0.06
