Date,JD,Phase,time,mag,mag_err,Band,source
2015-07-23,.226..8.,.-3..47.,0,.17..12.,.0..06.,B,.arXiV:2101..0943.
2015-07-23,.226..8.,.-3..47.,0,.17..07.,.0..03.,B,.arXiV:2101..0943.
2015-07-26,.230..26.,.-0..01.,259200,.17..26.,.0..05.,B,.arXiV:2101..0943.
2015-07-26,.230..26.,.-0..01.,259200,.17..19.,.0..05.,B,.arXiV:2101..0943.
2015-07-30,.234..04.,.3..76.,604800,.17..62.,.0..1.,B,.arXiV:2101..0943.
2015-07-30,.234..04.,.3..76.,604800,.17..56.,.0..09.,B,.arXiV:2101..0943.
2015-08-05,.239..84.,.9..56.,1123200,.18..38.,.0..14.,B,.arXiV:2101..0943.
2015-08-05,.239..85.,.9..57.,1123200,.18..39.,.0..13.,B,.arXiV:2101..0943.
2015-08-06,.241..52.,.11..25.,1209600,.18..53.,.0..13.,B,.arXiV:2101..0943.
2015-08-08,.243..44.,.13..16.,1382400,.18..88.,.0..15.,B,.arXiV:2101..0943.
2015-08-08,.243..45.,.13..17.,1382400,.19..15.,.0..19.,B,.arXiV:2101..0943.
2015-08-10,.245..53.,.15..25.,1555200,.18..84.,.0..11.,B,.arXiV:2101..0943.
2015-08-11,.246..57.,.16..29.,1641600,.18..9.,.0..12.,B,.arXiV:2101..0943.
2015-08-12,.247..35.,.17..07.,1728000,.18..58.,.0..19.,B,.arXiV:2101..0943.
2015-08-12,.247..35.,.17..07.,1728000,.18..87.,.0..19.,B,.arXiV:2101..0943.
2015-08-16,.251..15.,.20..87.,2073600,.19..48.,.0..21.,B,.arXiV:2101..0943.
2015-08-16,.251..16.,.20..88.,2073600,0,0,B,.arXiV:2101..0943.
2015-08-22,.256..57.,.26..29.,2592000,.19..33.,.0..25.,B,.arXiV:2101..0943.
2015-08-26,.260..91.,.30..63.,2937600,.19..23.,.0..2.,B,.arXiV:2101..0943.
2015-08-27,.262..23.,.31..95.,3024000,.19..44.,.0..26.,B,.arXiV:2101..0943.
2015-08-31,.265..8.,.35..52.,3369600,.19..46.,.0..22.,B,.arXiV:2101..0943.
2015-09-03,.269..34.,.39..06.,3628800,0,0,B,.arXiV:2101..0943.
2015-09-03,.269..34.,.39..06.,3628800,0,0,B,.arXiV:2101..0943.
2015-09-04,.269..73.,.39..45.,3715200,.19..72.,.0..15.,B,.arXiV:2101..0943.
2015-09-04,.269..74.,.39..46.,3715200,.19..54.,.0..11.,B,.arXiV:2101..0943.
2015-09-05,.271..59.,.41..31.,3801600,.19..95.,.0..05.,B,.arXiV:2101..0943.
2015-09-08,.274..33.,.44..05.,4060800,.19..32.,.0..1.,B,.arXiV:2101..0943.
2015-09-08,.274..33.,.44..05.,4060800,.19..6.,.0..11.,B,.arXiV:2101..0943.
2015-09-08,.274..34.,.44..06.,4060800,.19..97.,.0..16.,B,.arXiV:2101..0943.
2015-09-08,.274..37.,.44..09.,4060800,.19..62.,.0..12.,B,.arXiV:2101..0943.
2015-09-08,.274..38.,.44..1.,4060800,.19..74.,.0..14.,B,.arXiV:2101..0943.
