Time	Mag	MagErr	Band	Telescope	Source
49.6	16.5	0	Unfiltered	none	5955
84.6	17.0	0	Unfiltered	none	5955
91.7	17.0	0	Unfiltered	none	5955
81.2	18.1	0	Unfiltered	none	5955
270.7	18.5	0	Unfiltered	none	5955
415.0	19.6	0	V-finding_swift	none	5973
160.0	20.0	0	White-finding_swift	none	5973
12793.5	20.4	0	V_swift	none	5973
12402.5	20.8	0	B_swift	none	5973
1130.0	19.4	0	U_swift	none	5973
1178.0	19.2	0	w1_swift	none	5973
1161.0	19.3	0	m2_swift	none	5973
1187.0	19.3	0	w2_swift	none	5973
869.5	20.6	0	White_swift	none	5973
36792.0	22.4	0	R	none	5976
32190.0	18.3	0	Ic	none	5977
32190.0	19.7	0	Rc	none	5977
32190.0	19.4	0	g'	none	5977
20160.0	19.6	0	Ic	none	5979
20160.0	20.4	0	Rc	none	5979
20160.0	20.6	0	g'	none	5979
23785.5	21.6	0	R	none	5969
55778.0	23.8	0	R	none	5986
