Time_aftertrigger(s)	Mag	MagErr	Band	Telescope	Source
257.0	19.2	0.0	U	none	8753
256.0	20.6	0.3	u	none	8755
700.8	19.1	0.0	Unfiltered	none	8754
4135.0	20.45	0.35	white	none	8757
597.0	18.3	0.48	v	none	8757
398.0	18.92	0.36	b	none	8757
257.0	20.28	0.38	u	none	8757
521.0	19.04	0.52	u	none	8757
3170.5	21.23	0.0	uvw1	none	8757
3055.5	20.95	0.0	uvm2	none	8757
3494.5	21.44	0.0	uvw2	none	8757
21564.0	21.32	0.02	g'	none	8760
111564.0	23.67	0.08	g'	none	8760
21564.0	20.96	0.01	r'	none	8760
111564.0	23.07	0.06	r'	none	8760
21564.0	20.74	0.02	i'	none	8760
111564.0	22.79	0.09	i'	none	8760
21564.0	20.66	0.03	z'	none	8760
111564.0	22.84	0.17	z'	none	8760
