	Time	Mag	MagErr	Band	System	Telescope	Source
0	285.0	17.31	0.09	u(fc)	Swift	none	9175
1	475.5	17.31	0.24	v	Swift	none	9175
2	425.0	18.22	0.25	b	Swift	none	9175
3	549.0	18.55	0.39	u	Swift	none	9175
4	675.0	18.1	0.0	uvw1	Swift	none	9175
5	500.0	17.6	0.0	uvm2	Swift	none	9175
6	451.0	18.1	0.0	uvw2	Swift	none	9175
7	6173.0	20.82	0.26	uvw1	Swift	none	9175
8	123005.0	22.0	0.0	uvw1	Swift	none	9175
9	9451.5	21.8	0.0	uvm2	Swift	none	9175
10	8575.0	21.8	0.0	uvw2	Swift	none	9175
11	10139.9	19.1	0.0	Rc	?	none	9168
12	19184.3	20.3	0.0	Rc	?	none	9168
13	13255.5	20.9	0.0	Rc	?	none	9168
14	47312.6	22.3	0.2	V	?	none	9329
15	47381.8	23.3	0.2	B	Vega	none	9179
16	47381.8	22.23	0.14	R	Vega	none	9179
17	47442.2	22.4	0.24	I	Vega	none	9179
18	211740.0	22.8	0.1	R	?	none	9329
19	2120.0	17.7	0.4	J	Johnson	none	9152
20	45140.0	22.1	0.1	R	Vega	none	9190
21	52.55	15.9	0.1	Unfiltered	Vega	none	9150
22	240.85	15.9	0.1	Unfiltered	Vega	none	9150
23	162.0	15.802	0.044	Rc	AB	none	9211
24	231.0	16.185	0.048	Rc	AB	none	9211
25	300.0	16.5	0.043	Rc	AB	none	9211
26	369.0	16.818	0.058	Rc	AB	none	9211
27	438.0	17.019	0.066	Rc	AB	none	9211
28	507.0	17.249	0.067	Rc	AB	none	9211
29	576.0	17.44	0.063	Rc	AB	none	9211
30	645.0	17.605	0.105	Rc	AB	none	9211
31	714.0	17.68	0.089	Rc	AB	none	9211
32	782.0	17.855	0.115	Rc	AB	none	9211
33	965.0	18.007	0.104	Rc	AB	none	9211
34	1888.0	18.778	0.129	Rc	AB	none	9211
35	2084.0	18.919	0.138	Rc	AB	none	9211
36	2273.0	18.96	0.142	Rc	AB	none	9211
37	2461.0	18.891	0.196	Rc	AB	none	9211
