T_start(s)	Mag	MagErr	Filter	Telescope	Source
46800.0	18.33	0.06	u	UVOT	cenko11
47500.0	18.34	0.1	v	UVOT	cenko11
51700.0	18.5	0.05	u	UVOT	cenko11
53100.0	18.91	0.09	v	UVOT	cenko11
57400.0	18.71	0.05	u	UVOT	cenko11
58900.0	19.09	0.1	v	UVOT	cenko11
63100.0	18.84	0.07	u	UVOT	cenko11
68800.0	18.49	0.22	VJ	PROMPT	cenko11
68900.0	18.8	0.16	RC	PROMPT	cenko11
69000.0	18.13	0.19	IC	PROMPT	cenko11
69700.0	18.94	0.08	u	UVOT	cenko11
70600.0	18.97	0.12	v	UVOT	cenko11
71300.0	18.23	0.07	IC	PROMPT	cenko11
71400.0	18.6	0.05	RC	PROMPT	cenko11
71800.0	18.85	0.1	VJ	PROMPT	cenko11
72300.0	18.17	0.05	IC	PROMPT	cenko11
72400.0	18.56	0.04	RC	PROMPT	cenko11
73900.0	18.52	0.04	RC	PROMPT	cenko11
73900.0	18.15	0.05	IC	PROMPT	cenko11
74200.0	18.17	0.07	IC	SMARTS	cenko11
74200.0	17.28	0.07	J	SMARTS	cenko11
74300.0	18.85	0.09	VJ	PROMPT	cenko11
74800.0	19.11	0.1	BJ	PROMPT	cenko11
74800.0	18.47	0.04	RC	PROMPT	cenko11
74800.0	18.08	0.05	IC	PROMPT	cenko11
74800.0	18.8	0.06	u	UVOT	cenko11
75700.0	18.47	0.04	RC	PROMPT	cenko11
75700.0	18.06	0.05	IC	PROMPT	cenko11
76100.0	18.92	0.09	VJ	PROMPT	cenko11
76100.0	19.12	0.07	BJ	PROMPT	cenko11
76300.0	18.86	0.09	v	UVOT	cenko11
76500.0	17.98	0.04	IC	PROMPT	cenko11
76600.0	18.42	0.04	RC	PROMPT	cenko11
77400.0	18.08	0.05	IC	PROMPT	cenko11
77500.0	18.4	0.04	RC	PROMPT	cenko11
77900.0	19.11	0.07	BJ	PROMPT	cenko11
77900.0	18.75	0.08	VJ	PROMPT	cenko11
78200.0	17.96	0.05	IC	PROMPT	cenko11
78300.0	18.45	0.04	RC	PROMPT	cenko11
79200.0	18.4	0.04	RC	PROMPT	cenko11
