time_sec	flux	flux_err	band
77156.0	1.1096625032100728e-13	6.271285606437079e-14	g
77415.0	2.7624917408279033e-13	7.637947142270535e-14	r
77674.0	4.209765013384586e-13	2.7324622446265023e-13	i
134957.0	1.669014038359337e-13	1.9732025329910068e-14	Ic
175392.0	2.5420899340932783e-14	2.360603571701615e-14	g
175911.0	4.3782543542681954e-14	4.032754349209913e-14	r
2985207.0	3.753703710176631e-14	9.635654939782915e-15	Ic
4985281.0	2.3778901745911922e-14	1.982781209917657e-15	Rc
4985281.0	3.3920323822105726e-14	4.010252001921382e-15	Ic
79892.0	2.535718202808499e-13	8.1058286793246e-15	r
80237.0	2.517103005761041e-13	9.378803638367251e-15	r
92420.0	2.551527511077835e-13	2.7797155359837192e-14	I
92765.0	1.9437993580868483e-13	1.0741832221685212e-14	R
93197.0	1.5477265332402463e-13	1.448619216469959e-14	V
93716.0	9.934175009428464e-14	1.7751690741665666e-14	B
94493.0	6.83009565544786e-14	2.0925176898961357e-14	U
95184.0	1.7388072181520674e-13	1.1050354361096413e-14	R
530036.0	3.9201346834258314e-14	1.3565378478116523e-15	r
1814976.0	3.013362881685651e-14	1.4709671836440036e-15	R
2239978.0	2.7778000939370085e-14	7.673623460179662e-16	r
2241706.0	3.021745294201369e-14	2.3489874366293133e-15	i
2321453.0	2.979209116495371e-14	8.744544881734216e-16	r
2323354.0	2.994041766824101e-14	2.3204165051057647e-15	i
2415629.0	1.535998922242173e-14	1.9170198127573025e-15	g
2409668.0	2.821636003873029e-14	7.79471938339515e-16	r
2411482.0	3.049705159161368e-14	2.438963089483452e-15	i
2413124.0	3.125987400540156e-14	4.745265708497552e-15	z
2422109.0	1.2346157320566448e-14	2.1616793445298923e-15	B
2418048.0	2.3905301633313308e-14	2.050814601875034e-15	V
2423751.0	2.7130102487558923e-14	1.2743751390087784e-15	R
3548246.0	2.5771686493273168e-14	1.0305901707156232e-14	Ks
3553258.0	2.153405823164442e-14	8.433516421648285e-15	H
3550752.0	2.681850654009268e-14	7.233251596452497e-15	J
78550.0	2.4902986570068816e-13	4.58729965178171e-14	R
90550.0	1.571272227587656e-13	2.8943904066231075e-14	R
134950.0	2.3790318446301264e-13	2.4394911498024105e-14	I
