Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
           3442.3000               0.0010    2.2080394157327046e-05    2.0336795159091586e-06
           7871.8000               0.0010    1.2134078992091276e-05    1.0058310075142359e-06
           8030.2000               0.0010    1.4454624661794154e-05    2.3963763045038157e-06
           8409.8000               0.0010    1.2246354244331300e-05    1.5791033181443046e-06
           8640.0000               0.0010    2.0893289472062024e-05    3.8486862613540142e-06
           8980.6000               0.0010    1.2942161600099780e-05    3.5760515075282379e-07
           9317.5000               0.0010    1.2705940525642559e-05    3.5107812106856933e-07
           9628.6000               0.0010    1.2942161600099780e-05    3.5760515075282379e-07
           9931.0000               0.0010    1.2942161600099780e-05    2.3840343383521583e-07
          10216.1000               0.0010    1.2589451760986448e-05    2.3190627830661877e-07
          10518.5000               0.0010    1.1695177501103047e-05    3.2314970579031739e-07
          10803.6000               0.0010    1.1481716451809877e-05    3.1725155886007424e-07
          11506.1000               0.0010    1.1168756363950793e-05    9.9316619624403978e-07
          12216.4000               0.0010    1.0510409012336884e-05    9.3685248221725080e-07
          12934.4000               0.0010    1.0666128634558628e-05    7.8590942402922693e-07
          12974.9000               0.0010    1.0329536077049514e-05    9.2135642302548996e-07
          13392.0000               0.0010    1.1912607087657701e-05    7.6803418407470715e-07
          13726.6000               0.0010    9.5533747975252704e-06    8.5473326806298529e-07
          14299.6000               0.0010    1.1481716451809877e-05    6.3450311772014847e-07
          15571.4000               0.0010    1.0964954078754384e-05    6.0594577281441467e-07
          15731.7000               0.0010    1.0964954078754384e-05    5.0495481067867891e-07
          16366.3000               0.0010    1.0092687273616150e-05    5.5774252640374754e-07
          16485.1000               0.0010    8.4724071005612283e-06    3.9016877706272985e-07
          16683.8000               0.0010    8.2415104823858696e-06    3.0362847562876500e-07
          16873.9000               0.0010    8.2415104823858696e-06    3.0362847562876500e-07
          17351.7000               0.0010    9.5500757484750279e-06    1.7591890150755902e-06
          17381.8000               0.0010    8.1659518589957769e-06    6.0168958598157165e-07
          17604.0000               0.0010    9.5500757484750279e-06    4.3979725376889754e-07
          18211.2000               0.0010    8.3177682411207671e-06    6.1287583073090556e-07
          18792.0000               0.0010    1.0871854139885796e-05    3.2298208174869554e-06
          19032.0000               0.0010    8.3947316042202321e-06    6.9586503868879046e-07
          19132.6000               0.0010    8.9537881764323917e-06    3.2986975639033596e-07
          19403.7000               0.0010    9.3757672191768586e-06    4.3177004911493747e-07
          19546.8000               0.0010    8.2908453710338261e-06    6.9541155007878086e-07
          20077.4000               0.0010    1.0092687273616150e-05    5.5774252640374754e-07
          20130.6000               0.0010    7.7569825587347258e-06    7.7350900247189341e-07
          20803.2000               0.0010    7.4474365988414985e-06    6.1734085153834244e-07
          20844.0000               0.0010    8.0169064381687774e-06    4.4303063490885882e-07
          21520.3000               0.0010    7.1780555416222138e-06    5.2889869320421483e-07
          22818.2000               0.0010    7.5858947847412303e-06    1.3973735000967860e-07
          23042.9000               0.0010    7.7984234777974782e-06    1.4365227332609964e-07
          23258.9000               0.0010    7.4474365988414985e-06    1.3718685589740938e-07
          23483.5000               0.0010    7.4474365988414985e-06    2.0578028384611410e-07
          23580.3000               0.0010    8.5508013194315766e-06    4.7253475723393823e-07
          23699.5000               0.0010    7.3115055596774381e-06    2.0202437032453692e-07
          23924.2000               0.0010    7.5163468822854670e-06    2.0768434539787300e-07
          24050.9000               0.0010    7.4474365988414985e-06    4.1156056769222821e-07
          24140.2000               0.0010    7.0470412609364811e-06    1.9471695149125096e-07
          24356.2000               0.0010    7.1122467318777189e-06    1.9651864528756935e-07
          24580.8000               0.0010    7.2444732727952033e-06    2.0017219973692479e-07
          24660.3000               0.0010    7.5858947847412303e-06    4.1921205002903574e-07
          24805.4000               0.0010    7.4474365988414985e-06    2.0578028384611410e-07
          25030.1000               0.0010    6.8549898195952516e-06    1.8941037390744162e-07
          25130.9000               0.0010    7.0470412609364811e-06    3.8943390298250192e-07
          25246.1000               0.0010    6.9184182604022952e-06    1.9116296654518496e-07
          25470.7000               0.0010    7.0470412609364811e-06    1.2981130099416728e-07
          25686.7000               0.0010    7.2444732727952033e-06    2.0017219973692479e-07
          25911.4000               0.0010    7.3115055596774381e-06    2.0202437032453692e-07
          26127.4000               0.0010    6.9184182604022952e-06    1.9116296654518496e-07
          26343.4000               0.0010    6.5464644504735299e-06    1.8088550267302638e-07
          26568.0000               0.0010    6.9824335973549619e-06    1.9293177572318768e-07
          26792.6000               0.0010    6.6681723132850984e-06    1.8424841529715863e-07
          27017.3000               0.0010    6.5464644504735299e-06    1.8088550267302638e-07
          28149.1000               0.0010    7.0211267666725758e-06    6.7253647944573298e-07
          28149.1000               0.0010    5.8626236163977943e-06    8.4288597614718432e-07
          28797.1000               0.0010    6.1365010580535171e-06    5.5854874886781590e-07
          29488.3000               0.0010    6.0834733991508608e-06    5.5390768494104114e-07
          29606.9000               0.0010    5.7544896465423125e-06    6.3600971804940587e-07
          29663.7000               0.0010    6.6681723132850984e-06    4.2991296902670344e-07
          29868.5000               0.0010    6.8751600723270791e-06    5.7992346131573643e-07
          30084.5000               0.0010    6.5753975255536046e-06    5.5538137783566016e-07
          30369.6000               0.0010    6.2518250105649743e-06    1.7274431385295985e-07
          30505.4000               0.0010    7.5858947847412303e-06    6.2881807504355374e-07
          30585.6000               0.0010    5.8077352844683177e-06    1.6047366090056969e-07
          30735.6000               0.0010    5.7017321675662977e-06    6.8269364130403227e-07
          30870.7000               0.0010    5.4219013648032964e-06    4.9799242420017790e-07
          31086.7000               0.0010    5.4738237892391274e-06    5.0256447145878326e-07
          31395.4000               0.0010    7.3834683000229210e-06    7.6239063753804678e-07
          31404.0000               0.0010    5.5463441344363142e-06    7.1517206276412264e-07
          31499.7000               0.0010    6.9184182604022952e-06    4.4604692193876492e-07
          32311.2000               0.0010    5.0119509505996542e-06    6.9242663267360599e-07
          32671.7000               0.0010    6.1899909418110375e-06    7.3054687459800413e-07
          34045.4000               0.0010    4.8359612460199453e-06    5.1889413676163914e-07
          37987.7000               0.0010    5.2000415327879402e-06    3.8315323075330050e-07
          40547.5000               0.0010    3.9212380711670734e-06    5.2900329528289188e-07
          41253.4000               0.0010    5.3064834306421774e-06    7.3311779972192872e-07
          42223.7000               0.0010    4.1687592118095705e-06    3.0716553899927418e-07
          42560.6000               0.0010    3.9446348797519072e-06    3.9964574024749653e-07
          42981.4000               0.0010    4.5889995124561378e-06    9.6837394289458012e-07
          44709.4000               0.0010    8.5995319746154412e-06    1.4235645733648348e-06
          46329.4000               0.0010    3.6308374813054311e-06    1.0032375000256690e-06
          46812.2000               0.0010    4.7863759960412211e-06    3.0858907338620966e-07
          49683.8000               0.0010    4.0456919444994848e-06    6.8228215206107040e-07
          49893.4000               0.0010    4.9522984786572177e-06    5.8839939143427365e-07
          52120.3000               0.0010    4.6990147873438748e-06    3.4623621480251002e-07
          53773.7000               0.0010    1.4415204374307112e-06    1.9829342968949526e-07
          55077.4000               0.0010    5.2709829626490041e-06    9.6285095873167882e-07
          63114.2000               0.0010    3.0199990674219550e-06    3.0596742148223983e-07
          98967.7000               0.0010    2.8840767172004887e-06    9.2971651461538812e-07
         115171.2000               0.0010    1.5135849625782809e-06    1.5334696397429838e-07
         124017.4000               0.0010    1.7701366961221508e-06    1.4673205751000361e-07
         134108.6000               0.0010    2.1657105227877929e-06    2.6184518676018246e-07
         136293.4000               0.0010    1.7982381434408645e-06    6.8692699020920042e-07
         138865.0000               0.0010    1.4322103372966425e-06    1.8467603098714663e-07
         138885.4000               0.0010    2.4440428027519610e-06    1.3441203863404907e-06
         140619.8000               0.0010    1.5649468944029011e-06    3.2596498300659284e-07
         211514.2000               0.0010    1.4061550273286450e-06    2.3501254603744593e-07
         222581.0000               0.0010    8.6299206149861975e-07    1.3512366451009551e-07
         229541.5000               0.0010    1.4481435160681112e-06    2.4902023496592799e-07
         229541.5000               0.0010    9.0194239498913081e-07    1.2456535108904120e-07
         278424.0000               0.0010    7.9434067245161945e-07    7.3161481752005221e-08
         305131.8000               0.0010    8.7097722884828421e-07    1.0428596054330829e-07
         434808.0000               0.0010    1.0000156616021838e-06    1.8420969771627466e-07
         450108.0000               0.0010    1.0000156616021838e-06    1.8420969771627466e-07
         479871.4000               0.0010    9.8176331849622641e-07    1.6276274259088013e-07
         566478.2000               0.0010    5.6648967411044401e-07    1.1052576817305080e-07
         652888.3000               0.0010    7.7984232102242819e-07    7.9008747618470502e-08
        2615978.9000               0.0010    4.2073321220964149e-07    6.5876635430627700e-08
