# t(s)		fluxdens(microJy)	pos err	neg err		beta	z
0.00181538	2186.506217	673.8134979	973.956828	0.82	3.96855
0.0022715	1105.988768	347.846489	507.4434185	0.82	3.96855
0.002662	673.8305802	113.3627157	136.2919613	0.82	3.96855
0.0038194	1019.883854	314.2966171	454.2968302	0.82	3.96855
0.0041551	810.1225415	298.969774	473.8351596	0.82	3.96855
0.0051273	738.8405391	272.6636745	432.1428016	0.82	3.96855
0.0061111	1692.585891	408.6281904	538.6768655	0.82	3.96855
0.0070833	1855.883525	448.0519011	590.6474378	0.82	3.96855
0.0080671	973.9815193	300.1509392	433.8501047	0.82	3.96855
0.0090394	1170.983341	360.8607992	521.6025508	0.82	3.96855
0.018		727.3621814	6.668496562	6.730199401	0.82	3.96855
0.019299	549.2255298	172.7378955	251.9925052	0.82	3.96855
0.0221		514.93299	4.720934029	4.764616294	0.82	3.96855
0.0257		448.4878856	4.11176165	4.149807312	0.82	3.96855
0.02571		482.7816076	42.47954842	46.57789863	0.82	3.96855
0.026813	416.6301706	138.8183526	208.1837782	0.82	3.96855
0.0293		379.9712316	13.74393044	14.25971838	0.82	3.96855
0.0329		395.3217566	44.60968355	50.28392181	0.82	3.96855
0.0331		385.2571579	3.532058854	3.564740593	0.82	3.96855
0.034451	401.5602505	115.9651738	163.0525455	0.82	3.96855
0.0367		359.5428996	3.296309117	3.326809489	0.82	3.96855
0.03725		369.6159606	29.40310795	31.9442899	0.82	3.96855
0.039		367.2406239	19.7438984	20.86569753	0.82	3.96855
0.0403		369.6159606	3.388659496	3.420014376	0.82	3.96855
0.04076		387.0354242	30.78883374	33.4497779	0.82	3.96855
0.043		405.2758418	11.04489182	11.35432881	0.82	3.96855
0.0432		422.4260736	19.01230517	19.90832751	0.82	3.96855
0.04427		412.8104822	22.19386334	23.45486338	0.82	3.96855
0.04673249	348.4582221	73.9529332	93.87617895	0.82	3.96855
0.0476		388.8218985	3.564740593	3.597724731	0.82	3.96855
0.04778		383.4870621	30.50656002	33.14310849	0.82	3.96855
0.0483		374.0681368	10.19439522	10.48000444	0.82	3.96855
0.0512		373.035975	3.420014376	3.451659379	0.82	3.96855
0.05129		390.6166189	37.6361168	41.64902199	0.82	3.96855
0.0526		361.2024742	13.06504616	13.55535665	0.82	3.96855
0.0548		346.5378818	6.325029165	6.442620237	0.82	3.96855
0.0548		362.869709	40.94766508	46.15610391	0.82	3.96855
0.055188	334.0032683	100.7913633	144.3521709	0.82	3.96855
0.0557		348.137428	12.59247068	13.06504616	0.82	3.96855
0.0584		349.7443574	12.65059489	13.12535167	0.82	3.96855
0.0594		322.8127775	11.67645335	12.11465214	0.82	3.96855
0.0624		316.9207803	11.46333406	11.89353482	0.82	3.96855
0.0626		308.8522123	2.831574102	2.857774335	0.82	3.96855
0.0667		267.7630933	2.454866795	2.477581398	0.82	3.96855
0.0676		279.0941391	10.09510751	10.4739609	0.82	3.96855
0.0703		258.0778408	4.710451455	4.798025286	0.82	3.96855
0.0707		254.53688	11.45604673	11.99595358	0.82	3.96855
0.0738		233.211905	2.138099597	2.157883189	0.82	3.96855
0.0751		249.4311658	9.022168805	9.360756507	0.82	3.96855
0.0773		238.6441081	2.187902334	2.208146745	0.82	3.96855
0.079		258.7919223	9.360756507	9.71205087	0.82	3.96855
0.0811		244.2028435	4.457204214	4.540069827	0.82	3.96855
0.0847		237.547638	8.592330003	8.914786536	0.82	3.96855
0.0882		237.547638	4.335733025	4.41634032	0.82	3.96855
0.0917		254.53688	4.645821638	4.732193911	0.82	3.96855
0.1111		289.5681	13.03271135	13.64692411	0.82	3.96855
0.1154		273.4958347	9.892611376	10.26386541	0.82	3.96855
0.1188		268.9990316	2.466197945	2.489017394	0.82	3.96855
0.1202		238.6441081	6.503714475	6.685924479	0.82	3.96855
0.1213		267.7630933	19.02018	20.47456213	0.82	3.96855
0.1221		241.9639783	25.3179576	28.27669635	0.82	3.96855
0.1289		192.1988198	13.65257663	14.69652381	0.82	3.96855
0.1289		245.3300326	8.873826813	9.206847475	0.82	3.96855
0.1308		192.1988198	10.33315413	10.92025821	0.82	3.96855
0.1308		217.6460133	3.972487437	4.046341492	0.82	3.96855
0.1323		192.1988198	12.00050858	12.7996959	0.82	3.96855
0.1338		280.3823791	12.61928581	13.21401443	0.82	3.96855
0.1356		193.0859692	3.524216112	3.589736182	0.82	3.96855
0.1382		258.0778408	11.61541622	12.16283392	0.82	3.96855
0.1389699	223.1262757	37.53792319	45.13051	0.82	3.96855
0.1396		158.398373	9.890076519	10.54871725	0.82	3.96855
0.1454		172.8823736	3.155458933	3.214123295	0.82	3.96855
0.1532		151.2692719	46.61650465	67.38134979	0.82	3.96855
0.2729051	97.39815193	23.51409803	30.99761818	0.82	3.96855
0.4056713	67.38305802	20.76537157	30.01509392	0.82	3.96855
0.8421		8.866469337	0.553604551	0.590472467	0.82	3.96855
0.9609		8.948509768	1.296936935	1.516766956	0.82	3.96855
1.0852		6.695002083	0.475570189	0.511934765	0.82	3.96855
1.3648		6.819471465	0.06252129	0.063099793	0.82	3.96855
4.1546		1.512692719	0.133100563	0.145941865	0.82	3.96855
