Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            324.0000               5.0000    5.3451729838761104e-04    9.8461727891689053e-06
            346.0000               5.0000    4.9199621778782279e-04    9.0629055160037060e-06
            368.0000               5.0000    4.8301627465422505e-04    1.3346233268518282e-05
            420.0000               5.0000    4.4870588292877949e-04    1.2398202082964873e-05
            442.0000               5.0000    5.2476125805659454e-04    9.6664598797325670e-06
            464.0000               5.0000    5.1995021785322996e-04    1.9155674483097617e-05
            589.0000              15.0000    4.4870588292877949e-04    8.2654680553099164e-06
           1096.0000              60.0000    2.3986217062692749e-04    4.4184245948672973e-06
           1229.0000              60.0000    2.1279516635248891e-04    5.8797479041188395e-06
           1981.0000              60.0000    2.0321780606837207e-04    5.6151156522553409e-06
           2112.0000              60.0000    1.9586721949835725e-04    5.4120114336778528e-06
           2245.0000              60.0000    1.9586721949835725e-04    5.4120114336778528e-06
           3333.0000              60.0000    4.8301627465422505e-04    1.7794977691357709e-05
           3465.0000              60.0000    5.9150955623621382e-04    1.0896009006097629e-05
           3598.0000              60.0000    6.4263113930316314e-04    1.1837703394008761e-05
           3730.0000              60.0000    6.6063528515924194e-04    1.2169352026438617e-05
