Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
-9. -9.   1751.4 -9.    30.0 rr    18.460 0.180 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   1855.2 -9.    30.0 rr    18.660 0.160 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   1804.2 -9.    60.0 rr    18.650 0.130 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   1998.0 -9.   120.0 rr    18.520 0.110 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   2467.8 -9.   120.0 rr    18.660 0.070 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   2601.0 -9.   120.0 rr    18.760 0.070 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   3364.2 -9.   120.0 rr    18.920 0.100 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   3498.0 -9.   120.0 rr    19.020 0.080 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   3631.8 -9.   120.0 rr    18.960 0.080 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   4687.2 -9.   120.0 rr    19.170 0.100 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   4819.8 -9.   120.0 rr    19.210 0.090 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   4954.2 -9.   120.0 rr    19.230 0.090 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   5086.8 -9.   120.0 rr    19.240 0.090 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   5823.0 -9.   120.0 rr    19.220 0.080 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   6354.0 -9.   240.0 rr    19.240 0.070 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   7309.8 -9.   360.0 rr    19.330 0.080 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.   8686.2 -9.   480.0 rr    19.690 0.090 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.  35956.2 -9.  1800.0 rr    20.810 0.200 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.  37867.8 -9.  1800.0 rr    20.700 0.200 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
-9. -9.  39780.0 -9.  1800.0 rr    20.940 0.200 -9. -9. -9.  liverpool melandri08 0 NNN 0. 0. 0 nnn 
12838.0 -9. -9. 1.d-3 -9.  J  18.90 0.09  -9. -9. -9. NOT  kann10  0 NNN 0. 0. 0 nnn   
13849.0 -9. -9. 1.d-3 -9.  J  18.96 0.09  -9. -9. -9. NOT  kann10  0 NNN 0. 0. 0 nnn     
14843.0 -9. -9. 1.d-3 -9.  J  19.09 0.10  -9. -9. -9. NOT  kann10  0 NNN 0. 0. 0 nnn     
15835.0 -9. -9. 1.d-3 -9.  J  19.14 0.11  -9. -9. -9. NOT  kann10  0 NNN 0. 0. 0 nnn
-9. -9.     123.9990    10.0000 -9. v 4.84918e+01  -9.   6.30478e-02 -5.95867e-02  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.     143.9990    10.0000 -9. v 4.85530e+01  -9.   6.42379e-02 -6.06486e-02  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.     168.9990    15.0000 -9. v 4.86772e+01  -9.   5.46327e-02 -5.20149e-02  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.     198.8800    14.8810 -9. v 4.88071e+01  -9.   5.71429e-02 -5.42853e-02  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.     242.7500    23.4530 -9. v 4.89155e+01  -9.   1.32845e-01 -1.18348e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.     291.2030    25.0000 -9. v 4.90126e+01  -9.   1.33402e-01 -1.18790e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.     351.2030    35.0000 -9. v 4.94002e+01  -9.   1.42899e-01 -1.26260e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.     418.8900    32.6870 -9. v 4.95048e+01  -9.   1.60767e-01 -1.40003e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.    4085.1800   406.5000 -9. v 5.15275e+01  -9.   1.12495e-01 -1.01925e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.    4903.1800   406.5000 -9. v 5.17080e+01  -9.   1.15023e-01 -1.03997e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.    5775.1800   459.5000 -9. v 5.19070e+01  -9.   9.41883e-02 -8.66657e-02  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   10368.6800   900.0000 -9. v 5.23380e+01  -9.   3.08034e-01 -2.39679e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   16236.1800   983.5000 -9. v 5.27803e+01  -9.   1.48194e-01 -1.30375e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   22119.6800  1083.0000 -9. v 5.28971e+01  -9.   2.75498e-01 -2.19550e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   28021.6800  1201.0000 -9. v 5.23443e+01  -9.   100.	100.	     	   -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   35944.6800  3341.0000 -9. v 5.42981e+01  -9.   4.95564e-01 -3.38992e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   43007.6800  3713.0000 -9. v 5.41195e+01  -9.   5.54904e-01 -3.65441e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   54118.1800  4168.5000 -9. v 5.44677e+01  -9.   4.44080e-01 -3.14268e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   68210.1800  6687.5000 -9. v 5.41779e+01  -9.   4.00545e-01 -2.91948e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.   83123.6800  8218.0000 -9. v 5.47405e+01  -9.   5.94360e-01 -3.81915e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.  100649.6800  9300.0000 -9. v 5.37907e+01  -9.   100.	100.		   -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.  126017.6800 12502.0000 -9. v 5.50335e+01  -9.   4.59345e-01 -3.21780e-01  -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.  141783.1800  3257.5000 -9. v 5.37495e+01  -9.   100.	100.		   -9. UVOT oates 0 NNN 0. 0. 0 nnn 
-9. -9.  246789.6800 17596.0000 -9. v 5.53142e+01  -9.   100.	100.		   -9. UVOT oates 0 NNN 0. 0. 0 nnn 
