Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             69.1000               0.0010    3.5892374023474509e-15    8.5788616780742829e-16
             70.2000               0.0010    3.6445086459436543e-15    1.2376247702366325e-15
             73.0000               0.0010    1.8706811950444472e-15    3.4459222059638248e-16
             96.1000               0.0010    4.3805171608763386e-15    1.1480526496882328e-15
             97.0000               0.0010    5.9156134538720150e-15    5.4484814987707181e-16
             97.9000               0.0010    5.3550383743124184e-15    1.1613377816396954e-15
            111.0000               0.0010    8.8715558430390015e-15    5.7197035906951809e-16
            125.9000               0.0010    6.5206154492688102e-15    1.8127487743011165e-15
            127.0000               0.0010    1.2133882711028276e-14    6.7054315811678566e-16
            129.2000               0.0010    8.1877729326637888e-15    1.1655216770981031e-15
            132.0000               0.0010    9.9095285064484537e-15    3.2368270002492382e-15
            143.0000               0.0010    1.5135605307348963e-14    6.9702040314863078e-16
            156.9000               0.0010    1.1375544461251580e-14    2.9680750801324647e-15
            158.0000               0.0010    1.2198560730535392e-14    2.3262106099930354e-15
            159.0000               0.0010    2.0323560561578171e-14    9.3593457865663828e-16
            160.1000               0.0010    1.3528915783571523e-14    2.8359461959078812e-15
            174.0000               0.0010    1.7378000082955730e-14    8.0028650177984392e-16
            187.8000               0.0010    1.3392639947791254e-14    3.4286579215905999e-15
            190.0000               0.0010    1.8706812592297492e-14    8.6148058104938098e-16
            191.1000               0.0010    1.4450743545581768e-14    1.9358273577558787e-15
            205.0000               0.0010    1.9230908238797389e-14    8.8561607820286649e-16
            219.2000               0.0010    1.1893426485765559e-14    3.0918036947782417e-15
            220.0000               0.0010    1.6904401328530936e-14    7.7847647251199712e-16
            222.0000               0.0010    1.3747058900425337e-14    2.8777072513462094e-15
            224.9000               0.0010    1.1738186148124266e-14    2.2457519932569123e-15
            236.0000               0.0010    1.6904401328530936e-14    7.7847647251199712e-16
            251.0000               0.0010    1.5416997223283621e-14    7.0997898014008467e-16
            267.0000               0.0010    1.4190568474363017e-14    6.5349984741648970e-16
            272.0000               0.0010    1.2251718019260118e-14    3.1339069455574176e-15
            274.2000               0.0010    1.2794419701282025e-14    1.7311747300228273e-15
            282.0000               0.0010    1.4190568474363017e-14    6.5349984741648970e-16
            298.0000               0.0010    1.2359468436504770e-14    6.8300948636385129e-16
            313.8000               0.0010    9.4631863212706771e-15    1.8364051776749921e-15
            314.0000               0.0010    1.0568170024346869e-14    5.8401867501158365e-16
            322.0000               0.0010    1.0177365965654462e-14    2.6541764857961424e-15
            326.0000               0.0010    1.0307899878963751e-14    2.2036243630211027e-15
            328.0000               0.0010    1.1912414389127898e-14    6.5830436600657899e-16
            344.0000               0.0010    9.6382856011324634e-15    6.2140325481013440e-16
            359.0000               0.0010    9.4623670605535844e-15    6.1006136702831566e-16
            373.2000               0.0010    8.8391191992987698e-15    2.3423883573742221e-15
            377.1000               0.0010    8.1215961468896405e-15    1.1568215999602255e-15
            385.0000               0.0010    8.5506630015276317e-15    3.9377259458655747e-16
            385.0000               0.0010    7.6312097320607363e-15    1.4173043834025547e-15
            421.0000               0.0010    8.4722700507635029e-15    3.9016246568612337e-16
            422.8000               0.0010    7.7340146380601662e-15    2.0822067500932621e-15
            427.9000               0.0010    7.3083239438890224e-15    1.6078864086239933e-15
            430.0000               0.0010    6.6937238074748905e-15    1.3367646103973207e-15
            455.0000               0.0010    7.4473161289835713e-15    3.4296159190138342e-16
            492.0000               0.0010    6.6069312655870774e-15    3.0426043761056577e-16
            514.1000               0.0010    6.1905806839809940e-15    1.7161648533854052e-15
            519.9000               0.0010    6.6301810637603309e-15    9.4541265632325977e-16
            527.0000               0.0010    6.4863411778841119e-15    2.9870705868454172e-16
            612.0000               0.0010    6.0095421844825631e-15    1.6360980632142379e-15
            613.8000               0.0010    5.4799700824960243e-15    1.2342092542646189e-15
            620.0000               0.0010    5.6493669863397125e-15    2.0813037731321618e-16
            622.1000               0.0010    5.3964006682056197e-15    1.0942849045731020e-15
            675.0000               0.0010    3.9028025968999145e-15    9.8612282537019351e-16
            686.0000               0.0010    5.4405222083954726e-15    2.0981201255368718e-15
            710.0000               0.0010    4.7746922717131478e-15    1.3290153474961538e-15
            712.1000               0.0010    4.0742472921175425e-15    6.1110213524131553e-16
            728.0000               0.0010    3.5083247285455201e-15    8.1794885297674742e-16
            798.0000               0.0010    3.3728714117836970e-15    1.8639176776644473e-16
            807.9000               0.0010    3.8218336960161832e-15    1.1133720442055694e-15
            810.0000               0.0010    3.4737533974546420e-15    8.1342477405713248e-16
            812.9000               0.0010    3.4804530891578715e-15    7.3463463926609935e-16
            817.0000               0.0010    2.5483189427508133e-15    6.5772014184119262e-16
            833.0000               0.0010    4.0465283324836144e-15    1.5129755682101955e-15
            902.9000               0.0010    3.5749484580604653e-15    1.0541881016356863e-15
            905.1000               0.0010    2.9930321616310887e-15    4.7423944935561837e-16
            976.0000               0.0010    2.4210278326088685e-15    1.5608943721197788e-16
            994.0000               0.0010    2.4633163095830312e-15    4.0292647309976697e-16
           1065.0000               0.0010    1.8780769414468041e-15    3.9088527853722305e-16
           1080.1000               0.0010    2.7572984903731761e-15    8.1200608728184946e-16
           1090.1000               0.0010    2.2196953980242594e-15    5.4239820211463506e-16
           1091.9000               0.0010    2.3149082458465754e-15    5.0396992758043837e-16
           1167.0000               0.0010    1.3677281280522075e-15    1.0077793566668005e-16
           1179.0000               0.0010    2.2735964464545009e-15    5.5459217271029761e-16
           1184.1000               0.0010    2.1434738097909730e-15    4.7394389815867800e-16
           1275.9000               0.0010    2.2529387338885440e-15    3.8651606176983344e-16
           1324.0000               0.0010    2.6055162294507415e-15    9.5156157104336078e-16
           1331.0000               0.0010    1.8196999383020289e-15    1.1732039402378991e-16
           1351.2000               0.0010    2.4305366950781079e-15    7.2233676692377143e-16
           1365.2000               0.0010    2.0942444889775730e-15    3.4611673686519312e-16
           1413.0000               0.0010    1.8043341972084965e-15    4.8759502479978738e-16
           1463.1000               0.0010    2.2735964464545009e-15    5.5190287644512754e-16
           1464.2000               0.0010    2.0155138229852599e-15    4.4522510866458651e-16
           1508.0000               0.0010    1.7218677027385241e-15    1.2687190459425389e-16
           1513.0000               0.0010    1.7284633688788033e-15    4.5475491191550510e-16
           1529.0000               0.0010    2.2216241188706368e-15    8.7720978092871998e-16
           1553.1000               0.0010    1.9687645504604404e-15    4.9517391803703008e-16
           1556.0000               0.0010    2.1270445268069722e-15    4.6800651486120833e-16
           1571.0000               0.0010    1.8334783259199568e-15    4.8567334138144538e-16
           1633.1000               0.0010    2.2234787420289371e-15    6.6155045523160728e-16
           1648.8000               0.0010    2.0109653197486256e-15    3.3320868550028256e-16
           1666.0000               0.0010    1.8369874124879142e-15    4.7388281965708631e-16
           1682.0000               0.0010    2.4334732815028868e-15    1.0309896820417600e-15
           1687.0000               0.0010    1.9588436849772317e-15    1.2629132315461880e-16
           1724.0000               0.0010    1.6389487737928661e-15    4.5335806921694983e-16
           1738.1000               0.0010    1.9309960292950529e-15    3.1498548688943294e-16
           1825.0000               0.0010    1.8937793673249745e-15    4.9601360122798426e-16
           1836.0000               0.0010    2.0655389132275410e-15    5.1380576644971565e-16
           1837.8000               0.0010    2.1935269852814535e-15    4.8154099468021773e-16
           1840.0000               0.0010    1.8799685350964275e-15    8.0789814023922415e-16
