Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
           64.5            69.5            -9.0    -9.000    -9.000 CR   16.700 100.0000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 1 NNN  0.000  0.000 0 nnn
           78.6            83.6            -9.0    -9.000    -9.000 CR   16.990   0.2500  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
           93.1            98.1            -9.0    -9.000    -9.000 CR   15.790   0.1400  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          115.0           120.0            -9.0    -9.000    -9.000 CR   17.070   0.3800  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          129.0           134.0            -9.0    -9.000    -9.000 CR   16.960   0.2600  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          151.3           156.3            -9.0    -9.000    -9.000 CR   17.710   0.3000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          165.2           170.2            -9.0    -9.000    -9.000 CR   17.210   0.2100  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          187.3           192.3            -9.0    -9.000    -9.000 CR   16.600 100.0000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 1 NNN  0.000  0.000 0 nnn
          201.2           206.2            -9.0    -9.000    -9.000 CR   16.680 100.0000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 1 NNN  0.000  0.000 0 nnn
          215.2           220.2            -9.0    -9.000    -9.000 CR   17.440   0.5200  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          229.8           249.8            -9.0    -9.000    -9.000 CR   17.410   0.2000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          258.7           278.7            -9.0    -9.000    -9.000 CR   17.400   0.2400  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          295.6           315.6            -9.0    -9.000    -9.000 CR   17.080   0.1600  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          324.6           344.6            -9.0    -9.000    -9.000 CR   16.800   0.1000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          354.0           374.0            -9.0    -9.000    -9.000 CR   17.020   0.1500  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          382.9           402.9            -9.0    -9.000    -9.000 CR   16.780   0.1400  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          419.8           439.8            -9.0    -9.000    -9.000 CR   16.770   0.0900  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          448.8           468.8            -9.0    -9.000    -9.000 CR   16.660   0.1000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          478.1           498.1            -9.0    -9.000    -9.000 CR   16.740   0.1500  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          515.7           535.7            -9.0    -9.000    -9.000 CR   16.910   0.1400  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          544.9           604.9            -9.0    -9.000    -9.000 CR   16.590   0.1000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          622.4           682.4            -9.0    -9.000    -9.000 CR   16.700   0.1400  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          691.8           751.8            -9.0    -9.000    -9.000 CR   16.890   0.0500  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          769.2           829.2            -9.0    -9.000    -9.000 CR   16.870   0.1400  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          838.0           898.0            -9.0    -9.000    -9.000 CR   16.710   0.1100  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          907.2           967.2            -9.0    -9.000    -9.000 CR   16.800   0.0900  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
          984.3          1044.3            -9.0    -9.000    -9.000 CR   16.960   0.1100  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         1053.6          1113.6            -9.0    -9.000    -9.000 CR   16.800   0.0800  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
