Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
             81.1000               2.5000    2.5253214922057227e+45    5.8147677903654243e+44
             95.6000               2.5000    7.6263491105560350e+45    9.8337782376174307e+44
            117.5000               2.5000    2.3459387794963192e+45    8.2106202037388515e+44
            131.5000               2.5000    2.5960716530654356e+45    6.2167831032088287e+44
            153.8000               2.5000    1.3011179567051727e+45    3.5951218770995114e+44
            167.7000               2.5000    2.0621330063217907e+45    3.9885189597282928e+44
            217.7000               2.5000    1.6684633537086302e+45    7.9909002306705616e+44
            239.8000              10.0000    1.7152075211454361e+45    3.1595291066208595e+44
            268.7000              10.0000    1.7310781411740509e+45    3.8265166439256451e+44
            305.6000              10.0000    2.3244310831686944e+45    3.4254083301599601e+44
            334.6000              10.0000    3.0082690531343413e+45    2.7707182707481846e+44
            364.0000              10.0000    2.4564994696759904e+45    3.3937795335940691e+44
            392.9000              10.0000    3.0641969513134388e+45    3.9511216781161501e+44
            429.8000              10.0000    3.0925496170449054e+45    2.5635091869168235e+44
            458.8000              10.0000    3.4222889645195197e+45    3.1520447121890693e+44
            488.1000              10.0000    3.1791914103959350e+45    4.3922153760541661e+44
            525.7000              10.0000    2.7184207425759541e+45    3.5052613447802403e+44
            574.9000              30.0000    3.6502001387924354e+45    3.3619586671950879e+44
            652.4000              30.0000    3.2985014294211325e+45    4.2532450459806680e+44
            721.8000              30.0000    2.7689599582555960e+45    1.2751532213043544e+44
            799.2000              30.0000    2.8204387681200141e+45    3.6368082520744880e+44
            868.0000              30.0000    3.2682605860963586e+45    3.3111972617712716e+44
            937.2000              30.0000    3.0082690531343413e+45    2.4936464436733661e+44
           1014.3000              30.0000    2.5960716530654356e+45    2.6301774667421966e+44
           1083.6000              30.0000    3.0082690531343413e+45    2.2165746165985469e+44
           1152.9000              30.0000    2.9262853686057447e+45    2.4256876541658357e+44
           1230.3000              30.0000    2.7184207425759541e+45    2.2533822930730113e+44
           1299.6000              30.0000    2.4116633007221133e+45    2.2212240501698333e+44
           1368.9000              30.0000    2.8465359671183692e+45    3.4082835660876180e+44
           1445.9000              30.0000    2.8465359671183692e+45    3.1461079071578011e+44
           1515.0000              30.0000    2.8465359671183692e+45    2.8839322482279838e+44
           1583.9000              30.0000    2.6443362293097121e+45    2.4355237431027046e+44
           1661.1000              30.0000    2.7435739803920502e+45    2.5269250922557369e+44
           1730.4000              30.0000    2.5960716530654356e+45    2.6301774667421966e+44
           1807.4000              30.0000    2.5486880046298978e+45    2.3474284700389905e+44
           1876.6000              30.0000    2.1199063402761849e+45    2.1477565464013783e+44
           1946.0000              30.0000    2.6688039715542464e+45    2.9496712406064631e+44
           2015.4000              30.0000    2.8204387681200141e+45    2.0781761440425635e+44
           2084.5000              30.0000    2.5960716530654356e+45    2.8692845091733051e+44
           2153.7000              30.0000    2.3244310831686944e+45    1.7127041650799801e+44
           2231.2000              30.0000    2.2820054339661874e+45    3.1527071073890386e+44
           2300.1000              30.0000    2.3676454840908248e+45    2.8348867841348299e+44
           2369.2000              30.0000    2.1593183422793492e+45    2.3865668971655900e+44
           2446.3000              30.0000    2.9262853686057447e+45    3.2342502055544468e+44
           2515.5000              30.0000    2.1994630681167689e+45    3.6464047337027602e+44
           2584.7000              30.0000    1.4531708292646301e+45    2.1414717346331699e+44
           2661.5000              30.0000    2.1994630681167689e+45    3.2412486521802303e+44
           2731.0000              30.0000    2.5722707247347840e+45    2.3691489585705838e+44
           2800.3000              30.0000    2.4116633007221133e+45    4.4424481003396667e+44
           2877.1000              30.0000    2.0432272570009730e+45    5.6456457108098417e+44
           2946.6000              30.0000    2.1004709218380804e+45    7.3515000216299402e+44
           3015.9000              30.0000    3.0082690531343413e+45    7.7580111580949169e+44
