Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            387.8000               5.0000    2.0486097908894291e+48    7.5473576026545355e+46
            750.0000              15.0000    5.8540878562427224e+47    2.1567257310255541e+46
           1240.8000              30.0000    2.6269949063853573e+47    2.6615069733774934e+46
           1702.8000              60.0000    1.5540293876348729e+47    1.4313140020216369e+46
           2343.0000              90.0000    9.1930415691432513e+46    7.6203939908734480e+45
           2869.8000              60.0000    7.1690105963443429e+46    6.6029029623473526e+45
           3514.2000              90.0000    5.5393552808537068e+46    4.5917414142036402e+45
           4332.8000               5.0000    4.0129081418054448e+46    4.0656276024662349e+45
           4552.2000              15.0000    3.5930165516422190e+46    3.3092906355444788e+45
           4849.2000              30.0000    3.3071905421760870e+46    3.0460351445312260e+45
           5311.2000              60.0000    2.8804425413525922e+46    2.3876871292365087e+45
           5953.8000              90.0000    2.3738824795917242e+46    2.1864266269537247e+45
           6475.8000              60.0000    2.1254907262813878e+46    1.9576493610096905e+45
           7122.0000              90.0000    1.7039592835811021e+46    1.7263449976926457e+45
          11656.2000             150.0000    8.9425053539403626e+45    1.0707257659680948e+45
          11979.0000             150.0000    8.4617308746429849e+45    9.3522508482144069e+44
          15109.8000             150.0000    5.1458746781339639e+45    6.1613836260025305e+44
          15433.2000             150.0000    5.1458746781339639e+45    5.6874310393869523e+44
          18745.2000             300.0000    4.2020305346972273e+45    5.8053198888228466e+44
