Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            145.0000              13.8820    2.6320620266894724e+32    2.4824000352097876e+31
            173.9000              15.0000    1.7009678956391180e+32    1.9543950930228446e+31
            208.9000              20.0000    1.1238183369793223e+32    1.4646310822421390e+31
            253.9000              25.0000    9.6448641095433958e+31    1.2538705095096331e+31
            308.9000              30.0000    8.1789228574903189e+31    1.0708254109671673e+31
            373.9000              35.0000    4.4698825116183744e+31    8.7628515639225620e+30
            453.9000              45.0000    4.0765812956484935e+31    7.5299911598714415e+30
            551.1000              52.2190    2.5959486922282141e+31    8.2990123481477127e+30
            674.9000              65.5000    2.6662207544775645e+31    6.9213344640219367e+30
           1055.4000             194.0000    2.4722711690153437e+31    4.4687026992413874e+30
          10547.4000             341.0000    2.8993195927695877e+30    1.5508186008668192e+30
          37567.4000            3741.0000    2.7816090465517411e+30    9.5778750624026089e+29
          57293.4000            5315.0000    2.6539704916190502e+30    8.3243947561001451e+29
          70122.4000            5626.0000    3.8220476061338015e+30    1.1717105653745060e+30
          89981.4000            8926.0000    1.8565048473276661e+30    8.0143210033780574e+29
         112745.4000            9502.0000    2.4836825691951486e+30    5.2167720273887152e+29
         139086.9000           12441.5000    2.1852246385064199e+30    6.9024391750576983e+29
         170073.4000           15115.0000    1.4773931668837878e+30    4.6965576352235108e+29
         208208.9000           18498.5000    1.8513822152244504e+30    4.0574902896686761e+29
