Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
           1219.3000             107.3150    4.7712481954051752e+45    7.1630058464619959e+44
           1679.0000             110.2350    1.0790262596204597e+46    1.2323367265305985e+45
           1976.2000              23.0900    1.5213600795816637e+46    1.2751142553847166e+45
           2092.9000              23.0850    1.5959968009676789e+46    1.4552677450743736e+45
           2212.1000              23.3400    1.9135156463084379e+46    1.3746822115232471e+45
           2326.1000              22.8450    2.1628779766133509e+46    1.6932716482968718e+45
           2458.3000              23.2350    2.1351678347409414e+46    2.5761966228763221e+45
           2569.8000              23.2950    1.8579414230697398e+46    1.9679114398836726e+45
           2687.3000              23.2350    1.7694244218794343e+46    1.1896811209722049e+45
           2803.1000              22.9650    1.4569076238323754e+46    1.3016057027547678e+45
           2980.2000              46.1300    1.4569076238323754e+46    1.3150243182470848e+45
           3183.2000              46.5400    1.2173964045003721e+46    1.1212635575856840e+45
           3390.6000              46.5900    1.3836683773275774e+46    1.2744057084001809e+45
           3600.5000              46.4050    1.2241426090362559e+46    1.1951256642698433e+45
           5186.0000             109.2250    1.1330054901126625e+46    1.9409781704262058e+45
          11188.2000             322.1900    5.4379099250355216e+45    8.2139404532250710e+44
          12085.9000             111.0100    5.3141279811263755e+45    7.0480697609432231e+44
          13007.8000             106.0900    4.9640026989367584e+45    4.9377768243268302e+44
          13463.1000             105.6450    4.1441169955000365e+45    6.1069966669831686e+44
          88876.5000            2279.6600    1.6681381007975874e+45    2.9499110665168712e+44
