Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
           1173.6000               0.0010    2.7242846677307566e+45    6.8563647285752232e+44
           1173.6000               0.0010    1.9597653919131963e+45    5.3178533418636843e+44
           1219.3000               0.0010    1.7701810342722243e+45    2.2662518737879684e+44
           1219.3000               0.0010    1.8314863390041942e+45    3.3816829093934838e+44
           1219.3000               0.0010    2.0212446540659361e+45    4.2218231435643608e+44
           1633.2000               0.0010    5.3745052393037298e+45    9.4003043557357704e+44
           1633.2000               0.0010    5.9729281602342613e+45    9.8993268488085433e+44
           1679.0000               0.0010    5.4957743238857407e+45    4.1444374796154000e+44
           1679.0000               0.0010    5.4956325954451905e+45    2.8851489485699204e+44
           1679.0000               0.0010    4.8784840561117057e+45    8.5895784171327302e+44
           1976.2000               0.0010    9.0953139386598658e+45    6.5341332869769426e+44
           1976.2000               0.0010    8.7459238919178693e+45    8.0110576937442069e+44
           1976.2000               0.0010    7.0694380384005628e+45    1.0802669273805645e+45
           2092.9000               0.0010    9.0221926008742960e+45    7.5652933753868920e+44
           2092.9000               0.0010    9.7368323971527555e+45    4.7530157845304869e+44
           2092.9000               0.0010    7.4446398501043244e+45    1.1715866179211954e+45
           2105.8000               0.0010    8.6414076624637291e+45    1.2014628986605093e+45
           2105.8000               0.0010    8.5207631519434149e+45    9.8316850444166330e+44
           2212.1000               0.0010    1.0404415678714364e+46    5.3663799017460497e+44
           2212.1000               0.0010    9.9044712239175688e+45    8.4392175805952914e+44
           2212.1000               0.0010    9.0558348545750389e+45    1.3048494453856921e+45
           2326.1000               0.0010    1.1184817322896633e+46    8.6762944825136397e+44
           2326.1000               0.0010    1.0558876128018610e+46    6.3213049824752471e+44
           2326.1000               0.0010    1.0336456822183929e+46    1.5216215061903625e+45
           2458.3000               0.0010    8.4259270253472983e+45    6.5188752793068741e+44
           2458.3000               0.0010    1.0064432573297682e+46    7.2639940759250172e+44
           2458.3000               0.0010    1.0193536790991365e+46    1.8097608012438216e+45
           2569.8000               0.0010    9.3864656288380957e+45    8.8099622432701087e+44
           2569.8000               0.0010    7.7986188116783303e+45    5.0997834385787633e+44
           2569.8000               0.0010    8.7721832155576818e+45    1.4646501543322996e+45
           2585.3000               0.0010    8.2089440063958696e+45    1.2751255922736400e+45
           2585.3000               0.0010    6.8671999403495953e+45    1.0459003615153723e+45
           2687.3000               0.0010    6.7052919521477786e+45    3.5819653311370315e+44
           2687.3000               0.0010    7.4022285924630884e+45    6.1769337754024334e+44
           2687.3000               0.0010    8.3217927061484047e+45    1.1814684827377502e+45
           2803.1000               0.0010    6.5302181829450386e+45    7.0659658884402623e+44
           2803.1000               0.0010    6.5285643902345030e+45    3.0666453971778992e+44
           2803.1000               0.0010    6.7466051277212535e+45    1.0569805197547896e+45
           2980.2000               0.0010    5.7440431142693016e+45    3.3858939978713195e+44
           2980.2000               0.0010    6.7466051277212535e+45    1.0611249112430746e+45
           3183.2000               0.0010    5.7176516330519871e+45    4.4235676115240136e+44
           3183.2000               0.0010    5.5573031843133162e+45    8.8673300149823693e+44
           3245.4000               0.0010    5.4348616188876744e+45    9.5479107824842204e+44
           3245.4000               0.0010    5.9660720142672702e+45    6.2815485480065833e+44
           3290.4000               0.0010    5.3728670051623682e+45    3.9454953623948970e+44
           3390.6000               0.0010    5.2919738623425131e+45    2.6807485053208423e+44
           3390.6000               0.0010    6.3811490907124973e+45    1.0134593935500332e+45
           3600.5000               0.0010    5.3017310225078258e+45    4.7854133710023945e+44
           3600.5000               0.0010    5.5905648658923276e+45    9.1302936662513049e+44
           5141.1000               0.0010    4.8165856769925253e+45    8.7633363768080324e+44
           5141.1000               0.0010    4.8680753293601575e+45    1.0647872423035544e+45
           5186.0000               0.0010    4.4057280816947236e+45    4.5041864589509561e+44
           5186.0000               0.0010    4.8028750670141131e+45    8.2671699399255346e+44
           5186.0000               0.0010    5.1425164583552529e+45    1.1489695125830227e+45
          11142.4000               0.0010    2.1694661822856332e+45    8.8172870135262809e+44
          11142.4000               0.0010    2.0746291914913355e+45    4.2737445087352775e+44
          11188.2000               0.0010    2.1436510185969931e+45    2.1628301555781711e+44
          11188.2000               0.0010    2.2636938189182410e+45    1.2926622525639412e+44
          11188.2000               0.0010    2.3278194102231057e+45    4.8660158133460414e+44
          12040.1000               0.0010    2.2596692983539847e+45    4.6858895376586264e+44
          12040.1000               0.0010    1.5094977929481081e+45    2.0191245383193251e+44
          12085.9000               0.0010    2.3747488460176151e+45    2.1216078425453185e+44
          12085.9000               0.0010    2.1456737328926746e+45    1.9815149570385656e+44
          12085.9000               0.0010    2.2706577807232174e+45    4.4058365595634109e+44
          13007.8000               0.0010    2.3400098482972910e+45    3.5237227597172154e+44
          13007.8000               0.0010    2.3400098482972910e+45    1.8750490383424679e+44
          13007.8000               0.0010    2.1095551545317624e+45    3.5806031300414101e+44
          13463.1000               0.0010    2.2346920548075632e+45    1.4819238031571510e+44
          13463.1000               0.0010    1.9471853079239788e+45    2.2036448076686465e+44
          13463.1000               0.0010    1.7359518830654938e+45    3.5974678128700834e+44
          88876.5000               0.0010    6.4342640100114328e+44    2.1012274510655092e+44
          88876.5000               0.0010    6.4985681381480661e+44    1.1432119005326123e+44
          88876.5000               0.0010    6.4985681381480661e+44    1.5367734907237331e+44
