T_OBS[MJD]	T_1/2 [s]	GROND Mag	GROND Mag err
54314.31093	214.63	20.949	0.139
54314.31625	220.47	19.719	0.057
54314.31969	46.18	19.172	0.078
54314.32104	46.17	19.098	0.053
54314.32242	46.68	19.026	0.056
54314.32374	45.69	19.010	0.065
54314.32527	46.47	19.255	0.084
54314.32656	46.59	19.339	0.071
54314.32792	46.47	19.503	0.058
54314.32926	45.93	19.532	0.051
54314.33131	92.26	19.671	0.064
54314.33366	93.08	19.676	0.084
54314.33606	93.18	19.760	0.055
54314.33849	92.81	19.758	0.098
54314.35684	218.45	19.959	0.111
54314.42631	644.38	20.682	0.062
54314.43670	222.02	20.630	0.097
54314.44737	212.18	20.646	0.087
54314.45264	211.29	20.696	0.072
54315.32548	4559.32	22.037	0.191
