Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            138.0000              10.0000    4.1065344527684640e+47    1.2103225967384897e+46
            229.0000              10.0000    3.4093804742697162e+47    6.9083422165073852e+45
            320.0000              10.0000    2.2380792814998291e+47    6.1840417666500735e+45
            411.0000              10.0000    9.7695702811596983e+46    5.6688074205708580e+45
            502.0000              10.0000    6.1698621159560772e+46    3.9210306922703540e+45
            575.0000              10.0000    4.7761224960653764e+46    3.3872080637307860e+45
            634.0000              10.0000    4.3199175328932854e+46    4.2175186722359401e+45
            749.1000              30.0000    2.8123894068150171e+46    2.9270462818331981e+45
           1007.7000              60.0000    1.8008413351000920e+46    2.4547815951930354e+45
           1464.6000              70.0000    1.5555194635295849e+46    1.9341266571155481e+45
