Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
          59622.2000             300.0000    8.1434956991923279e+44    6.7503932429854504e+43
          76087.9000              30.0000    7.0926882343589144e+44    2.6130429868543184e+43
          76181.6000              20.0000    7.0926882343589144e+44    2.6130429868543184e+43
          76308.7000             112.5000    7.1583160715513277e+44    2.6372211762871084e+43
          76377.8000             112.5000    7.0276620768034012e+44    2.5890864643979393e+43
          77310.9000             112.5000    7.0276620768034012e+44    2.5890864643979393e+43
          77380.0000             112.5000    6.9632320826525864e+44    2.5653495766628649e+43
          77647.9000             112.5000    6.8361387720384703e+44    2.5185266693246399e+43
          78563.7000             112.5000    6.7734646741261304e+44    2.4954366776887581e+43
          78624.2000             112.5000    6.7734646741261304e+44    2.4954366776887581e+43
          78693.3000             112.5000    6.6498350091165293e+44    2.4498898245850864e+43
          91363.0000              90.0000    5.5310918292110750e+44    2.0377295936896032e+43
          91475.3000              90.0000    5.5310918292110750e+44    2.0377295936896032e+43
         161809.4000              60.0000    1.6398754376501685e+44    6.0415245532834872e+42
         247051.7000              60.0000    7.7769777448519772e+43    2.8651445662963601e+42
