Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
             56.0000               5.0000    1.7278751954445136e+50    3.1828638256957861e+48
             71.0000               5.0000    7.5424486963014691e+49    2.0840556519287564e+48
             87.0000               5.0000    3.9583333063419468e+49    1.0937279432003245e+48
            135.0000               5.0000    1.5188411480377008e+49    5.5956177388422919e+47
            151.0000               5.0000    1.0902155000229520e+49    4.0165024492329754e+47
            166.0000               5.0000    8.9025075561262704e+48    4.0997563558240834e+47
            215.0000               5.0000    5.3642912275511359e+48    2.9644169689485018e+47
            245.0000               5.0000    3.4794639793261215e+48    1.9228229090515220e+47
            294.0000               5.0000    2.6394433369711090e+48    1.7017120558121421e+47
            309.0000               5.0000    1.6807856833701707e+48    7.7403043409191624e+46
            325.0000               5.0000    1.4911191212887536e+48    9.6136005263175495e+46
            344.0000               3.9000    1.1532204569758338e+48    4.4610523601472074e+46
            352.3000               3.9000    1.0693314432092824e+48    4.1365408752962760e+46
            360.2000               3.9000    1.0382748566296390e+48    4.0164033438978572e+46
            380.1000               3.9000    8.6918522625025192e+47    3.3623066444181413e+46
            388.4000               3.9000    8.3851789548954960e+47    3.2436748880684409e+46
            393.0000              15.0000    9.1519225516466628e+47    5.0575394511138544e+46
            396.3000               3.9000    7.4389619085772505e+47    2.8776456729122282e+46
            416.3000               3.9000    7.3571961485612430e+47    2.8460158718198019e+46
            424.5000               3.9000    7.0260677709600069e+47    2.7179240554221440e+46
            431.0000              15.0000    6.9424431874986083e+47    3.1971133305367037e+46
            432.4000               3.9000    6.5995197687409567e+47    2.5529206546842359e+46
            452.4000               3.9000    6.3432573866025701e+47    2.4537895737412835e+46
            460.7000               3.9000    5.9801535244887958e+47    2.3133285429589312e+46
            464.0000              15.0000    6.6913282352982770e+47    4.3140588653325966e+46
            468.6000               3.9000    5.7426498054187220e+47    2.2214539564397382e+46
            488.6000               3.9000    5.0062476819162340e+47    1.9365883514986849e+46
            496.9000               3.9000    5.0572256547400399e+47    1.9563083802759686e+46
            504.8000               3.9000    4.7283795674230193e+47    1.8290994320582291e+46
            525.8000               3.9000    3.9802681448981447e+47    1.5397042685472149e+46
            534.1000               3.9000    3.8789334688672232e+47    1.5005045393941298e+46
            542.0000               3.9000    3.7351868369118956e+47    1.4448984106727277e+46
            561.9000               3.9000    3.6367406443092508e+47    1.4068160460042056e+46
            570.2000               3.9000    3.7906381620876694e+47    1.4663488856059748e+46
            578.2000               3.9000    3.5637918485119048e+47    1.3785969491530241e+46
            598.2000               3.9000    3.3505208876294053e+47    1.2960964248481841e+46
            606.4000               3.9000    3.2652191098790824e+47    1.2630987707868143e+46
            614.4000               3.9000    3.1967769080795180e+47    1.2366229791006098e+46
            634.4000               3.9000    3.0783098301218250e+47    1.1907958491250633e+46
            642.7000               3.9000    2.8834493610543426e+47    1.1154171346585805e+46
            650.6000               3.9000    2.8807948286537211e+47    1.1143902704576165e+46
            670.6000               3.9000    2.7334575162396191e+47    1.0573951433501500e+46
            678.9000               3.9000    2.4769219841126917e+47    9.8097169382599519e+45
            686.8000               3.9000    2.4542134265291993e+47    9.7197809114496283e+45
            706.8000               3.9000    2.4610040461989245e+47    9.7466747971766148e+45
            715.0000               3.9000    2.5276231708558063e+47    1.0010516274522447e+46
            723.0000               3.9000    2.4339537845208935e+47    9.6395436836940855e+45
            743.0000               3.9000    2.1101451340481452e+47    8.3571168556906525e+45
            751.3000               3.9000    2.0811928569877568e+47    8.2424529120936455e+45
            759.2000               3.9000    2.1140357473770519e+47    8.3725254215306728e+45
            779.3000               3.9000    2.0716306442567536e+47    8.2045822803998614e+45
            787.5000               3.9000    1.9404940981156315e+47    7.6852230086275983e+45
            795.5000               3.9000    1.8998194345831665e+47    7.5241331808608246e+45
            815.5000               3.9000    1.8159852878302815e+47    7.1921125299556862e+45
            823.8000               3.9000    1.7326559147808861e+47    6.8620910082846796e+45
            831.7000               3.9000    1.7811985201733650e+47    7.0543413986482893e+45
            851.7000               3.9000    1.7894201591094650e+47    7.0869027595829620e+45
            860.0000               3.9000    1.7470781231154392e+47    6.9192093924300166e+45
            867.9000               3.9000    1.7358505264157338e+47    6.8747430966695930e+45
            888.0000               3.9000    1.5657136031698308e+47    6.3451324751631947e+45
            896.2000               3.9000    1.5160458104681198e+47    6.0042182844344782e+45
            904.1000               3.9000    1.4518184938554980e+47    5.7498494348239319e+45
            924.1000               3.9000    1.4478125080723895e+47    5.7339839425544746e+45
            932.4000               3.9000    1.4332182321335049e+47    5.6761840938722794e+45
            940.3000               3.9000    1.5188410438112050e+47    6.0152886564720040e+45
            960.3000               3.9000    1.3228552453671220e+47    5.3609368663117177e+45
            968.5000               3.9000    1.2832531042821826e+47    5.2004472141969766e+45
            976.5000               3.9000    1.3599167528594203e+47    5.5111304740646288e+45
            996.5000               3.9000    1.3611698594835772e+47    5.5162087511644005e+45
           1004.8000               3.9000    1.2750062788380904e+47    5.1670265427303862e+45
           1012.7000               3.9000    1.2668124516136623e+47    5.1338206491925519e+45
           1032.7000               3.9000    1.1628195449512720e+47    4.7123842077422990e+45
           1041.0000               3.9000    1.1033475183870699e+47    4.4713708536063208e+45
           1049.0000               3.9000    1.1186966115472632e+47    4.5335738192558974e+45
           1069.0000               3.9000    1.0488474392557910e+47    4.3471089863638617e+45
           1077.2000               3.9000    1.0624593487607111e+47    4.4035256318317642e+45
           1085.2000               3.9000    1.0449904516290892e+47    4.3311231099200703e+45
           1105.2000               3.9000    1.0421070217028085e+47    4.3191722925991280e+45
           1113.5000               3.9000    1.0517495193986839e+47    4.3591371023663852e+45
           1121.4000               3.9000    9.7344702398703264e+46    4.0346004074012645e+45
           1141.4000               3.9000    9.5744166251607706e+46    4.0564473718952237e+45
           1149.7000               3.9000    8.9271394967765619e+46    3.7822118012995150e+45
           1157.6000               3.9000    8.7965488959441615e+46    3.7268837410865597e+45
           1177.6000               3.9000    9.3220691779530677e+46    3.8636744657296565e+45
           1185.8000               3.9000    8.9848808290090929e+46    3.7239215858607207e+45
           1193.8000               3.9000    8.5253520279504450e+46    3.6905056227539945e+45
           1221.5000              11.7500    9.1603553526424460e+46    4.1341296645914308e+45
           1257.5000              11.7500    8.2094170808606675e+46    3.7049648596000692e+45
           1287.0000              30.0000    7.8979125445658759e+46    5.8193971886124988e+45
           1293.5000              11.7500    6.9616521546306528e+46    3.1418401993240662e+45
           1330.0000              11.7500    7.1831067355333247e+46    3.2417841334865453e+45
           1353.0000              30.0000    6.5691975038754486e+46    4.8403637378583224e+45
           1366.0000              11.7500    6.9360516666884957e+46    3.1302865278172997e+45
           1402.0000              11.7500    5.8171775367170940e+46    2.6253311463293555e+45
           1418.0000              30.0000    6.3315832126773961e+46    4.6652830528837202e+45
           1438.5000              11.7500    5.4993621219177077e+46    2.4818989230578470e+45
           1474.5000              11.7500    5.3004448216127530e+46    2.3921262144309986e+45
           1483.0000              30.0000    5.3151107445006572e+46    4.4058582432793704e+45
           1510.5000              11.7500    5.3544185658696156e+46    2.4164849263642648e+45
           1547.0000              11.7500    4.8429760041131291e+46    2.1856674760693695e+45
           1548.0000              30.0000    4.1832355182951108e+46    3.4676121679927639e+45
           1583.0000              11.7500    4.9603499564116715e+46    2.2386391261165228e+45
           1619.5000              11.7500    4.3562451962322336e+46    1.9660026056502857e+45
           1656.5000              11.7500    3.7662774985762305e+46    1.7344349347908741e+45
           1692.5000              11.7500    4.2453384232206413e+46    1.9550506498863738e+45
           1729.0000              11.7500    4.3202841965807462e+46    1.9895644549843318e+45
           1765.0000              11.7500    3.7317480584079862e+46    1.7185335394929402e+45
           1801.5000              11.7500    3.2833132152528479e+46    1.5120216565422647e+45
           1837.5000              11.7500    3.6033986815400623e+46    1.6926149947254819e+45
           1891.5000              23.5500    3.1820889429669860e+46    1.4360980320150346e+45
           1964.0000              23.5500    3.1326531666360896e+46    1.4426401381339737e+45
           2036.5000              23.5500    2.8543834445829473e+46    1.3144921916786296e+45
           2109.0000              23.5500    2.5557143594385489e+46    1.1769499910807432e+45
           2181.5000              23.5500    2.6248972824661649e+46    1.2088099054485527e+45
           2215.0000               5.0000    3.8504576008288647e+48    2.8371220889945649e+47
           2254.0000              23.5500    2.5369523664648859e+46    1.1683097737648071e+45
           2326.0000              23.5500    2.3567434707200883e+46    1.1070269181419874e+45
           2399.5000              23.5500    2.0965842154447841e+46    9.6551273993305548e+44
           2472.0000              23.5500    2.2694065934527296e+46    1.0660023962614252e+45
           2544.5000              23.5500    2.0133176995480518e+46    9.4571043300287594e+44
           2616.5000              23.5500    1.9620601235748013e+46    9.2163334652058784e+44
           2689.0000              23.5500    1.9404940315349676e+46    9.1150316277176889e+44
           2761.5000              23.5500    1.7199360938825275e+46    8.2374225953449659e+44
           2834.0000              23.5500    1.7927193692035818e+46    8.4208935891376859e+44
           2906.5000              23.5500    1.7486879228108764e+46    8.3751259472975604e+44
           2978.5000              23.5500    1.6080972530788805e+46    7.9980066783780118e+44
           3044.0000              15.0000    1.2987103711355868e+46    2.3923129814245594e+45
           3051.0000              23.5500    1.5216413787004657e+46    7.4278627754473216e+44
           3123.5000              23.5500    1.5132556694741033e+46    7.3869280990642345e+44
           3195.5000              23.5500    1.4083555488747556e+46    6.8748602019587515e+44
           3268.5000              23.5500    1.5714924900862783e+46    7.5264701940348913e+44
           3340.5000              23.5500    1.2868037227080728e+46    6.6370643467850027e+44
           3414.0000              23.5500    1.3252942350903306e+46    6.4693980152863662e+44
           3486.5000              23.5500    1.5456540985426854e+46    7.4027203924663311e+44
           3559.0000              23.5500    1.2903642095736569e+46    6.6554285930299784e+44
           3632.0000              23.5500    1.3011048888390379e+46    6.4711543846499281e+44
           3892.5000             113.8000    1.0382747853807465e+46    5.0683181575948329e+44
           4251.0000             117.7000    9.9520444473747722e+45    4.7664094085975735e+44
