Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
          693.6            -9.0            -9.0    -9.000    19.000 uvw2   12.700  -9.0000   0.0300   0.0200  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
          849.6            -9.0            -9.0    -9.000    19.000 uvw2   13.130   0.0300  -9.0000  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
         1501.6            -9.0            -9.0    -9.000    19.000 uvw2   14.180  -9.0000   0.0600   0.0500  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
         1663.6            -9.0            -9.0    -9.000    19.000 uvw2   14.340   0.0600  -9.0000  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
         5639.6            -9.0            -9.0    -9.000   199.000 uvw2   16.190   0.0500  -9.0000  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
        11156.6            -9.0            -9.0    -9.000   899.000 uvw2   17.220   0.0400  -9.0000  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
        22406.1            -9.0            -9.0    -9.000   270.000 uvw2   18.380  -9.0000   0.1200   0.1100  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
        29363.6            -9.0            -9.0    -9.000   869.000 uvw2   18.590   0.0700  -9.0000  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
        46711.6            -9.0            -9.0    -9.000   869.000 uvw2   19.200   0.1000   0.0900  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
        76251.6            -9.0            -9.0    -9.000   407.000 uvw2   19.960   0.2700   0.2100  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
        82611.1            -9.0            -9.0    -9.000    34.000 uvw2   19.910   2.1100   0.6700  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
       382512.0            -9.0            -9.0    -9.000 ********* uvw2   22.220   0.2000   0.1700  -9.0000  -9.0000 UVOT racusin08 0 NNN  0.000  0.000 0 nnn
