Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            228.0000              30.0000    2.2900058274686411e+46    2.1091733731982222e+45
            336.0000              30.0000    2.2482085100040187e+46    2.0706766200415082e+45
            559.0000              30.0000    2.3759461196919133e+46    2.1883273097812419e+45
            768.0000              30.0000    2.3325802150935938e+46    2.1483858344424932e+45
            871.0000              30.0000    2.3979304787908701e+46    2.2085756533802638e+45
            972.0000              30.0000    2.2482085100040187e+46    2.0706766200415082e+45
           1130.0000              60.0000    2.2275968101860054e+46    2.0516925423981063e+45
           1317.0000              60.0000    2.0129666821511379e+46    1.8540108833790676e+45
           1504.0000              60.0000    2.0885101339732360e+46    1.9235889757976267e+45
           2920.0000             600.0000    1.3422598017542443e+46    1.2362669997673370e+45
           4736.0000             600.0000    8.1627516020660518e+45    7.5181722791247370e+44
           6034.0000             475.0000    6.0790620864126478e+45    5.5990232570078313e+44
          85868.0000            4980.0000    2.9911387521377734e+44    3.0304347480095721e+43
