Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            425.1000              84.0000    7.1805106078786024e+45    4.6294464052924437e+44
            627.5000              84.0000    4.9221554539220194e+45    2.7200837039695860e+44
            939.2000             192.5000    3.6656865309724203e+45    2.0257332971501171e+44
           1412.6000             192.0000    3.0771971578502139e+45    1.9839423821970411e+44
           2066.7000             404.0000    2.4443045779070365e+45    1.5759014448381556e+44
           3322.9000             818.5000    1.9959760225233633e+45    1.1030171442581676e+44
           4997.4000             825.0000    1.6001301870341332e+45    8.8426464517963321e+43
          90323.4000            1390.0000    1.0189557291204206e+45    5.6309576156080785e+43
         176442.6000            1927.0000    6.1398153773228068e+44    2.8274895537093529e+43
         262434.0000            1802.5000    4.8323158249836301e+44    2.2253637407128916e+43
         434677.5000            2048.0000    1.5422518620772028e+44    1.1363731998374252e+43
         522211.1000            1542.0000    9.2077877538287606e+43    7.6326175554380774e+42
