Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            449.9000              33.0000    2.5491768740391559e-04    6.1044847120858241e-06
            592.0000              17.5000    3.7566434077921371e-04    6.2279937788340611e-06
            803.2000              57.5000    5.0257395040178426e-04    6.9433159178172624e-06
            950.9000              17.5000    6.5463613794943779e-04    6.6323640062732447e-06
           1108.1000              35.5000    7.6137739216286743e-04    6.3112906217017463e-06
           1215.2000              17.5000    8.1507951330411581e-04    6.0057279710968725e-06
           1359.8000              17.5000    9.0531554607366541e-04    5.8367851943948444e-06
           1473.1000              17.5000    9.7543869241975025e-04    6.2888858394708191e-06
           1577.0000              17.5000    9.9083189634560274e-04    6.3881294956284746e-06
           1694.2000              17.5000    1.0577912717023229e-03    6.8198325547475206e-06
           1812.2000              17.5000    1.0774570800105433e-03    6.9466227101436679e-06
           1917.1000              17.5000    1.0854253975997213e-03    6.9979963536544426e-06
           2024.0000              17.5000    1.0685626234468349e-03    5.9050954524256955e-06
           2246.7000              57.5000    1.0995120147124478e-03    4.0507520760442834e-06
           2441.0000              57.5000    1.0964781440750801e-03    4.0395748832366355e-06
           2553.4000              17.5000    1.0490591572690183e-03    6.7635345308583733e-06
           2659.6000              17.5000    1.0270698462533381e-03    6.6217641994773362e-06
           2778.9000              17.5000    1.0261243154521282e-03    5.6705726888090694e-06
           2849.8000              17.5000    1.0129779194615277e-03    6.5309101872871596e-06
           2928.0000              17.5000    1.0055414528089739e-03    6.4829655135825225e-06
           3002.9000              17.5000    9.6560605085928796e-04    6.2254924547766071e-06
           3073.9000              17.5000    9.5675332124183009e-04    6.1684167960350151e-06
           3145.1000              17.5000    9.3929060484886941e-04    6.0558304995349711e-06
           3213.7000              17.5000    9.3153671874006416e-04    6.0058393469084864e-06
           3332.6000              17.5000    9.1369232781032947e-04    5.8907923036610975e-06
           3423.4000              17.5000    8.7983245477556463e-04    6.4828452896630416e-06
           4218.6000              57.5000    8.1058764032365671e-04    3.7328941418111870e-06
           4507.1000              57.5000    7.7696235510867138e-04    3.5780439763859766e-06
           4720.7000              57.5000    7.5787918075588209e-04    3.4901627082725802e-06
           5658.9000              57.5000    6.8233865691683018e-04    3.1422857300404023e-06
           5860.5000              57.5000    6.5102846246245744e-04    3.5977163422448887e-06
           6086.5000              57.5000    6.3386967598034376e-04    3.5028933811929350e-06
           6274.1000              57.5000    6.1602732378153349e-04    2.8369107469015003e-06
           6643.7000              57.5000    5.9593648554244754e-04    3.2932668179614130e-06
           6845.8000              57.5000    5.9210670001094603e-04    3.2721026403740606e-06
           7042.0000              57.5000    5.6859099213438355e-04    3.1421500324543351e-06
           7337.9000              57.5000    5.4550655659108525e-04    3.0145807235926469e-06
           7526.6000              57.5000    5.3851769071935559e-04    2.9759588223851720e-06
           7714.2000              57.5000    5.3161836409437355e-04    1.9585544889036396e-06
           7903.7000              57.5000    5.1760680158147957e-04    2.3836674793285035e-06
           8093.8000              57.5000    5.0815941260628085e-04    2.3401606440320145e-06
           8300.9000              57.5000    4.9888445791552397e-04    3.2164270571777956e-06
           8488.7000              57.5000    4.8663122707403228e-04    2.2410196830064215e-06
           8679.4000              57.5000    4.7380536491539613e-04    1.7455635226268089e-06
           8869.4000              57.5000    4.6472921366330720e-04    2.1401571809306177e-06
           9141.5000              57.5000    4.5331487865356502e-04    3.3401475586202195e-06
           9329.8000              57.5000    4.4096078952549035e-04    2.4368394474865998e-06
           9516.6000              57.5000    4.3291234795028738e-04    2.3923621143832398e-06
           9703.2000              57.5000    4.2933863708405470e-04    1.9771775481110716e-06
           9905.3000              57.5000    4.1648558355565971e-04    2.6851818664989174e-06
