time_sec	flux	flux_err	band	source
115620	2.025913262035533e-14	3.2504119360034957e-15	z'	8257
101555	9.039146576067192e-14	1.53146059288825e-15	v_swift	8262
96800.5	1.9332811609871607e-14	1.1588054052090125e-15	u_swift	8262
67096	6.150221846810018e-15	5.354082097686137e-16	uvw1_swift	8262
96012	5.9277623176817124e-15	5.160419720615409e-16	uvw1_swift	8262
63898.5	2.3788107398682168e-15	2.4946788396794903e-16	uvm2_swift	8262
95105	2.6324485423196813e-15	2.7606709373751346e-16	uvm2_swift	8262
100796.5	2.9857556865564744e-15	3.351841921322813e-16	uvw2_swift	8262
286740	8.367984121325155e-15	2.929509218156154e-16	z'	8272
63160	7.179720015008194e-14	3.3764018158566806e-14	Ks	8274
97515	1.8606854159373257e-14	8.65204380730403e-15	J	arXiv0902.0761
97515	2.0168447193671066e-14	7.665049851139638e-15	H	arXiv0902.0761
97515	1.500056124797197e-14	7.054303250077936e-15	Ks	arXiv0902.0761
117315	2.47369726157628e-15	7.026500860082995e-17	g'	arXiv0902.0761
117315	6.353977640999805e-15	4.099285661257828e-16	r'	arXiv0902.0761
117315	1.420123354428628e-14	7.020273301880913e-16	i'	arXiv0902.0761
117315	1.988936177740287e-14	1.1505539789365968e-15	z'	arXiv0902.0761
117315	1.1740131289528409e-14	9.958927682771514e-16	J	arXiv0902.0761
117315	8.885307500546887e-15	1.0565576467487366e-15	H	arXiv0902.0761
117315	7.179720015008209e-15	1.204912573448461e-15	Ks	arXiv0902.0761
290415	2.47369726157628e-15	7.026500860082995e-17	g'	arXiv0902.0761
290415	2.5529698284933413e-15	6.004420158014063e-18	r'	arXiv0902.0761
290415	3.8399544222736e-15	4.649250617341617e-16	i'	arXiv0902.0761
290415	3.038231397117824e-15	1.0636405083592135e-16	z'	arXiv0902.0761
290415	8.122186428750222e-15	5.227249782707741e-16	J	arXiv0902.0761
290415	9.653225742311033e-15	9.00941193002049e-16	H	arXiv0902.0761
290415	1.247692339226975e-14	1.1887357800433773e-15	Ks	arXiv0902.0761
377955	1.8764912700428703e-15	5.330145983382242e-17	g'	arXiv0902.0761
377955	1.7662235951732984e-15	4.154043827724102e-18	r'	arXiv0902.0761
377955	2.886197655767286e-15	4.284770195956861e-16	i'	arXiv0902.0761
377955	3.038231397117824e-15	1.0636405083592135e-16	z'	arXiv0902.0761
377955	4.673830449600732e-15	3.0079682874070086e-16	J	arXiv0902.0761
377955	7.32272057481158e-15	6.834337854313926e-16	H	arXiv0902.0761
377955	1.1379089375563296e-14	1.0841399165297604e-15	Ks	arXiv0902.0761
721125	6.813128001202431e-16	1.9352590352870957e-17	g'	arXiv0902.0761
721125	1.3398176117858844e-15	3.1511644933998903e-18	r'	arXiv0902.0761
721125	1.787829378772573e-15	3.213052394505001e-17	i'	arXiv0902.0761
721125	2.7708999666429102e-15	9.700516728016346e-17	z'	arXiv0902.0761
721125	6.1613084850563004e-15	3.965274464238273e-16	J	arXiv0902.0761
721125	7.32272057481158e-15	6.834337854313926e-16	H	arXiv0902.0761
721125	9.464714290732864e-15	9.017483053757284e-16	Ks	arXiv0902.0761
3744135	8.557089406190412e-16	1.5378635642194017e-17	i'	arXiv0902.0761
