Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
            519.6000               9.7500    1.9966960036403867e-03    1.0114637688270249e-04
            692.4000               9.7000    1.3561631710874615e-03    8.7435073356652206e-05
           1145.0000               9.7500    9.6452156909846007e-04    7.5510363727615600e-05
           1318.5000               9.7000    7.9489898555517712e-04    6.9552259076131331e-05
           1492.1000               9.7000    8.2473028567116888e-04    6.8364421783046787e-05
           1664.2000               9.7000    6.9232807268630693e-04    6.6954062511877073e-05
           7262.2000              98.3000    1.7551406828727979e-04    1.2124082666497960e-05
          17071.1000             299.5000    5.7057393157273365e-05    4.9924212550248540e-06
          41786.0000             198.1500    1.9783900486132536e-05    4.4643033339013412e-06
          70718.5000             204.5000    1.1176656795519230e-05    4.3235142833796618e-06
