time_sec	flux	flux_err	band	source
521.3	1.9448783548544107e-12	3.0455567884658905e-14	r	Li_Liang
629.3	1.759107754034857e-12	3.4026710100765647e-14	r	Li_Liang
739	1.6568852926880975e-12	2.8997561513761814e-14	r	Li_Liang
848.7	1.5634804061713649e-12	2.3043272918581394e-14	r	Li_Liang
972.3	1.4457474765748553e-12	1.9976673076669966e-14	r	Li_Liang
1076	1.3393449451807683e-12	2.4673683943972697e-14	r	Li_Liang
1185.7	1.2557189347697129e-12	2.4289577522153657e-14	r	Li_Liang
1294.6	1.1827486008163398e-12	1.634267568384271e-14	r	Li_Liang
1443.2	1.0796735024173743e-12	1.591271056609412e-14	r	Li_Liang
1624.6	9.956173196772146e-13	1.5590739025341973e-14	r	Li_Liang
1808.7	9.14728989569193e-13	1.5166484372282787e-14	r	Li_Liang
1998.7	8.560368159140859e-13	1.261665314103057e-14	r	Li_Liang
2209.5	7.944973316543987e-13	1.2441326912804387e-14	r	Li_Liang
2388.4	7.407854488235688e-13	7.50722431783402e-15	r	Li_Liang
2584.5	7.100557406497608e-13	8.503473952771052e-15	r	Li_Liang
2779.8	6.774737042016424e-13	1.0608810744839092e-14	r	Li_Liang
3545.3	6.687941150693322e-13	1.3552532457511871e-14	r	Li_Liang
3679.2	7.225908251369661e-13	1.4642676109902387e-14	r	Li_Liang
3795	8.450695299542272e-13	1.5568042099832587e-14	r	Li_Liang
4034.3	1.0580165055630267e-12	2.1439786489059852e-14	r	Li_Liang
4141.5	1.1140186024108558e-12	1.7444828405752113e-14	r	Li_Liang
4254.6	1.2069587928054783e-12	2.0011743235222907e-14	r	Li_Liang
4370.4	1.2615150700212213e-12	2.672533076929542e-14	r	Li_Liang
4498.3	1.30524621635742e-12	2.284343859919461e-14	r	Li_Liang
4614.9	1.3768684324591394e-12	2.02929022563381e-14	r	Li_Liang
4730.7	1.4699157486655234e-12	2.4371649400996345e-14	r	Li_Liang
4846.5	1.5764944383372657e-12	1.8879756370706957e-14	r	Li_Liang
5091	1.569251104345468e-12	2.890906178924979e-14	r	Li_Liang
5206.8	1.5808564770526923e-12	2.6211080360898583e-14	r	Li_Liang
5646.5	1.687689090125621e-12	4.197121817816261e-14	r	Li_Liang
5739.9	1.7381707725238166e-12	3.202093414114102e-14	r	Li_Liang
5838.3	1.8607689175596584e-12	2.399768642969681e-14	r	Li_Liang
5936.8	1.8693578366396728e-12	3.271609633956468e-14	r	Li_Liang
6576.2	1.725410525191591e-12	3.3374899070759664e-14	r	Li_Liang
6691.1	1.61321571112011e-12	2.674760628647756e-14	r	Li_Liang
6794.8	1.5779471122527985e-12	2.906926140881142e-14	r	Li_Liang
6905.4	1.536358059327657e-12	3.113296303936452e-14	r	Li_Liang
7016.8	1.5250793580988856e-12	2.8095320930285003e-14	r	Li_Liang
7124	1.5706971038306345e-12	2.604263486834117e-14	r	Li_Liang
7236.3	1.5349436727107872e-12	2.5449832125104577e-14	r	Li_Liang
7341.7	1.4780612895149768e-12	2.4506704941386737e-14	r	Li_Liang
8056.2	1.6371649676202503e-12	2.11139444322623e-14	r	Li_Liang
8502.1	1.5491463316485092e-12	1.997879884481901e-14	r	Li_Liang
8944.4	1.4089398182280207e-12	1.6873158485220383e-14	r	Li_Liang
9384.2	1.32340399995451e-12	1.8286187237954886e-14	r	Li_Liang
9824.8	1.2350724746494866e-12	1.820305006397148e-14	r	Li_Liang
10257.7	1.2350724746494866e-12	1.7065662885000436e-14	r	Li_Liang
10692.3	1.202520373178072e-12	1.6615872932336205e-14	r	Li_Liang
11137.3	1.1794850564894088e-12	1.4125257893644155e-14	r	Li_Liang
11582.2	1.0916726827285876e-12	1.3073635900809005e-14	r	Li_Liang
12028.9	1.1222573100644353e-12	1.654032975316569e-14	r	Li_Liang
12471.3	1.126399484270459e-12	1.6601378967680278e-14	r	Li_Liang
12911.1	1.0396626518677859e-12	1.3408165880646088e-14	r	Li_Liang
13350	9.91042873615707e-13	1.0955924165656095e-14	r	Li_Liang
14271.9	9.801497713838779e-13	1.444588534268356e-14	r	Li_Liang
14710.8	9.983721161348296e-13	1.2875656271482377e-14	r	Li_Liang
15285.3	9.873984541308977e-13	2.5465045736846876e-14	r	Li_Liang
16262.5	9.429582031440352e-13	1.302936235711093e-14	r	Li_Liang
16825.8	9.429582031440352e-13	1.302936235711093e-14	r	Li_Liang
17223.3	8.759764748592156e-13	1.129716246068404e-14	r	Li_Liang
17828.9	7.915756804996476e-13	1.2395575699183896e-14	r	Li_Liang
18337	7.41468051738202e-13	1.0928087495801675e-14	r	Li_Liang
18774.2	6.958128469349201e-13	9.614421599197035e-15	r	Li_Liang
