Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes
 93. -9. -9. -9.  146.2 white  14.53  0.01 -9. -9. -9. GCN8603 UVOT 0 NNN 0. 0. 0 nnn
586. -9. -9. -9.   19.5 white  13.91  0.01 -9. -9. -9. GCN8603 UVOT 0 NNN 0. 0. 0 nnn
636. -9. -9. -9.   19.5 v      13.30  0.03 -9. -9. -9. GCN8603 UVOT 0 NNN 0. 0. 0 nnn
561. -9. -9. -9.   19.5 b      13.53  0.01 -9. -9. -9. GCN8603 UVOT 0 NNN 0. 0. 0 nnn
306. -9. -9. -9.   246. u      13.07  0.01 -9. -9. -9. GCN8603 UVOT 0 NNN 0. 0. 0 nnn
709. -9. -9. -9.   19.5 u      13.53  0.02 -9. -9. -9. GCN8603 UVOT 0 NNN 0. 0. 0 nnn
685. -9. -9. -9.   19.5 uvw1   14.82  0.07 -9. -9. -9. GCN8603 UVOT 0 NNN 0. 0. 0 nnn
660. -9. -9. -9.   19.5 uvm2   17.57  100. -9. -9. -9. GCN8603 UVOT 1 NNN 0. 0. 0 nnn
660. -9. -9. -9.  412.6 uvm2   20.1   100. -9. -9. -9. GCN8603 UVOT 1 NNN 0. 0. 0 nnn
611. -9. -9. -9.   19.5 uvw2   17.19  0.25 -9. -9. -9. GCN8603 UVOT 0 NNN 0. 0. 0 nnn
-9. -9. 134. -9.  20.  IC      12.79  0.02 -9. -9. -9. GCN8617 GORT 0 USNOB1 0. 0. 0 nnn
-9. -9. 235. -9.  40.  RC      12.60  0.01 -9. -9. -9. GCN8617 GORT 0 USNOB1 0. 0. 0 nnn
-9. -9. 345. -9.  40.  IC      11.58  0.01 -9. -9. -9. GCN8617 GORT 0 USNOB1 0. 0. 0 nnn
-9. -9. 476. -9.  80.  RC      12.51  0.01 -9. -9. -9. GCN8617 GORT 0 USNOB1 0. 0. 0 nnn
-9. -9. 625. -9.  80.  IC      12.02  0.01 -9. -9. -9. GCN8617 GORT 0 USNOB1 0. 0. 0 nnn
-9. -9. 14623. -9.  1620.0 gg 18.50   0.24 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn 
-9. -9. 18108. -9.  1500.0 gg 18.87   0.26 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn
-9. -9. 19912. -9.  1500.0 gg 19.18   0.25 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn 
-9. -9. 21722. -9.  1560.0 gg 19.11   0.23 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn 
-9. -9. 23600. -9.  1560.0 gg 19.63   0.32 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn 
-9. -9. 14623. -9.  1620.0 RC 18.11   0.25 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn
-9. -9. 18108. -9.  1500.0 RC 18.36   0.19 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn
-9. -9. 19912. -9.  1500.0 RC 17.89   0.15 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn
-9. -9. 21722. -9.  1560.0 RC 18.49   0.24 -9. -9. -9. GCN8619 MITSuME 0 NNN 0. 0. 0 nnn
